"rank","name","type","num samples/calls","yields","minimum","mean","maximum","stddev","total","inclusive (ns)","num threads","total per thread"
0,"APEX MAIN","timer",1,0,1218045189871,1218045189871,1218045189871,2510,1218045189871,1218045189871,1,1218045189871
0,"<unknown>","timer",1,0,124692,124692,124692,0,124692,124692,1,124692
0,"N3hpx10components6server15runtime_support19shutdown_all_actionE","timer",1,3,15740,798726,513284,0,798726,798726,2,399363
0,"run_as_hpx_thread (void)","timer",20,9377,190,18926071877,30133835180,5635105160,378521437549,378521437549,96,3942931641
0,"cholesky syrk","timer",1308160,1300051,189,248494,30487922,695164,325070334972,325070334972,96,3386149323
0,"cholesky potrf","timer",5120,5080,760,2193285,39162700,4094380,11229619986,11229619986,96,116975208
0,"DRAM Energy","counter",1217,0,0,0,0,0,0,0,1,0
0,"Package-0 Energy","counter",1217,0,0,0,0,0,0,0,1,0
0,"status:VmHWM kB","counter",1218,0,137252,192413128,370221716,100121747,234359189568,0,1,234359189568
0,"CPU I/O Wait %","counter",1217,0,0,0,0,0,0,0,1,0
0,"CPU Guest %","counter",1217,0,0,0,0,0,0,0,1,0
0,"status:VmExe kB","counter",1218,0,2772,2772,2772,0,3376296,0,1,3376296
0,"status:VmPTE kB","counter",1218,0,628,384842,739496,198701,468736952,0,1,468736952
0,"cholesky trsm","timer",1308160,6246949,180,2435609,124880292,4652018,3186166344496,3186166344496,96,33189232755
0,"N3hpx10components6server15runtime_support22load_components_actionE","timer",1,0,3034852,3034852,3034852,0,3034852,3034880,1,3034852
0,"status:VmLck kB","counter",1218,0,0,0,0,0,0,0,1,0
0,"cholesky gemm","timer",222387200,220248346,300,223471,61504158,626623,49696995544872,49696995544872,96,517677036926
0,"status:VmPin kB","counter",1218,0,0,0,0,0,0,0,1,0
0,"status:VmSize kB","counter",1218,0,1991184,200980577,381209300,101106871,244794342296,0,1,244794342296
0,"status:VmLib kB","counter",1218,0,1328160,1368817,1369392,4837,1667218512,0,1,1667218512
0,"run_helper","timer",1,3,38400,1316849,964967,0,1316849,1316849,3,438950
0,"status:VmData kB","counter",1218,0,179964,196349663,377025168,101194694,239153889812,0,1,239153889812
0,"assemble K_tiles","timer",1313280,1313280,370,574711,11338593,16095,754757018948,754757018948,96,7862052281
0,"status:VmSwap kB","counter",1218,0,0,0,0,0,0,0,1,0
0,"1 Minute Load average","counter",1218,0,5,65,86,23,79082,0,1,79082
0,"status:VmPeak kB","counter",1218,0,1991184,202380944,381209300,101243110,246499989260,0,1,246499989260
0,"status:voluntary_ctxt_switches","counter",1218,0,125,412,441,15,501455,0,1,501455
0,"status:nonvoluntary_ctxt_switches","counter",1218,0,103,528,1071,288,643355,0,1,643355
0,"CPU IRQ %","counter",1217,0,0,0,0,0,0,0,1,0
0,"status:VmRSS kB","counter",1218,0,137252,191046881,370221716,100001038,232695101204,0,1,232695101204
0,"CPU soft IRQ %","counter",1217,0,0,0,0,0,6,0,1,6
0,"N3hpx10components6server15runtime_support29call_startup_functions_actionE","timer",2,0,33340,71386,109431,38046,142771,142771,1,142771
0,"status:VmStk kB","counter",1218,0,140,140,140,0,170520,0,1,170520
0,"CPU User %","counter",1217,0,3,43,99,30,52874,0,1,52874
0,"CPU System %","counter",1217,0,0,35,66,28,42139,0,1,42139
0,"CPU Nice %","counter",1217,0,0,0,0,0,0,0,1,0
0,"cholesky","counter",10,0,97879179427,105049728459,127363434507,8422351170,1050497284592,0,1,1050497284592
0,"CPU Idle %","counter",1217,0,0,22,97,29,26681,0,1,26681
0,"status:Threads","counter",1218,0,12,102,102,3,124146,0,1,124146
0,"CPU Steal %","counter",1217,0,0,0,0,0,0,0,1,0
