"rank","name","type","num samples/calls","yields","minimum","mean","maximum","stddev","total","inclusive (ns)","num threads","total per thread"
0,"APEX MAIN","timer",1,0,234358530338,234358530338,234358530338,0,234358530338,234358530338,1,234358530338
0,"<unknown>","timer",1,0,187843,187843,187843,0,187843,187904,1,187843
0,"DRAM Energy","counter",234,0,0,0,0,0,0,0,1,0
0,"Package-0 Energy","counter",234,0,0,0,0,0,0,0,1,0
0,"CPU Guest %","counter",234,0,0,0,0,0,0,0,1,0
0,"CPU IRQ %","counter",234,0,0,0,0,0,0,0,1,0
0,"CPU I/O Wait %","counter",234,0,0,0,0,0,0,0,1,0
0,"CPU Steal %","counter",234,0,0,0,0,0,0,0,1,0
0,"status:Threads","counter",235,0,10,104,104,6,24346,0,1,24346
0,"CPU soft IRQ %","counter",234,0,0,0,0,0,13,0,1,13
0,"status:VmRSS kB","counter",235,0,137344,10955962,26957964,7784791,2574651100,0,1,2574651100
0,"status:VmHWM kB","counter",235,0,137344,25763676,27117948,4955718,6054463944,0,1,6054463944
0,"status:VmExe kB","counter",235,0,2772,2772,2772,0,651420,0,1,651420
0,"cholesky syrk","timer",1200,1199,1120,51323513,221817790,49542501,61588216058,61588216058,96,641543917
0,"status:VmPTE kB","counter",235,0,632,22910,54472,15358,5383844,0,1,5383844
0,"status:VmLck kB","counter",235,0,0,0,0,0,0,0,1,0
0,"status:VmLib kB","counter",235,0,1328164,1328164,1328164,0,312118540,0,1,312118540
0,"run_helper","timer",1,3,12570,919524,667420,0,919524,919524,3,306508
0,"status:VmData kB","counter",235,0,161932,11775772,27948768,7859415,2767306456,0,1,2767306456
0,"assemble K_tiles","timer",1360,1351,1030,85184306,155634129,40091350,115850655830,115850655830,96,1206777665
0,"status:VmSwap kB","counter",235,0,0,0,0,0,0,0,1,0
0,"1 Minute Load average","counter",235,0,2,17,23,4,3914,0,1,3914
0,"status:VmPeak kB","counter",235,0,2112020,39704066,41069608,5064297,9330455572,0,1,9330455572
0,"status:voluntary_ctxt_switches","counter",235,0,138,460,496,32,108056,0,1,108056
0,"status:nonvoluntary_ctxt_switches","counter",235,0,100,520,973,254,122258,0,1,122258
0,"N3hpx10components6server15runtime_support29call_startup_functions_actionE","timer",2,0,12000,45806,79612,33806,91612,91648,1,91612
0,"cholesky potrf","timer",160,158,1490,71707483,262987986,66811240,11473197219,11473197219,78,147092272
0,"N3hpx10components6server15runtime_support19shutdown_all_actionE","timer",1,2,102522,572620,292605,0,572620,572620,2,286310
0,"run_as_hpx_thread (void)","timer",10,160,12401,5786084875,5891976090,0,57860848747,57860848747,80,723260609
0,"status:VmStk kB","counter",235,0,140,140,140,0,32900,0,1,32900
0,"CPU User %","counter",234,0,7,19,99,27,4523,0,1,4523
0,"CPU System %","counter",234,0,0,1,1,0,146,0,1,146
0,"N3hpx10components6server15runtime_support22load_components_actionE","timer",1,0,1850428,1850428,1850428,0,1850428,1850428,1,1850428
0,"cholesky trsm","timer",1200,1200,980,26945150,84930691,12423984,32334180078,32334180078,96,336814376
0,"status:VmPin kB","counter",235,0,0,0,0,0,0,0,1,0
0,"status:VmSize kB","counter",235,0,2112020,25296264,40938536,7322723,5944622060,0,1,5944622060
0,"cholesky gemm","timer",5600,5587,840,82000336,232304037,55723894,459201881771,459201881771,96,4783352935
0,"CPU Nice %","counter",234,0,0,0,0,0,0,0,1,0
0,"cholesky","counter",10,0,1968849367,1986414307,2002281491,10378575,19864143071,0,1,19864143071
0,"CPU Idle %","counter",234,0,1,80,92,27,18718,0,1,18718
