"rank","name","type","num samples/calls","yields","minimum","mean","maximum","stddev","total","inclusive (ns)","num threads","total per thread"
0,"APEX MAIN","timer",1,0,14277199326,14277199326,14277199326,71,14277199326,14277199326,1,14277199326
0,"<unknown>","timer",1,0,105351,105351,105351,0,105351,105472,1,105351
0,"DRAM Energy","counter",14,0,0,0,0,0,0,0,1,0
0,"Package-0 Energy","counter",14,0,0,0,0,0,0,0,1,0
0,"CPU Guest %","counter",14,0,0,0,0,0,0,0,1,0
0,"CPU IRQ %","counter",14,0,0,0,0,0,0,0,1,0
0,"CPU I/O Wait %","counter",14,0,0,0,0,0,0,0,1,0
0,"CPU Steal %","counter",14,0,0,0,0,0,0,0,1,0
0,"status:Threads","counter",15,0,12,96,102,22,1440,0,1,1440
0,"CPU soft IRQ %","counter",14,0,0,0,0,0,0,0,1,0
0,"status:VmRSS kB","counter",15,0,137180,883772,1415664,394985,13256584,0,1,13256584
0,"status:VmHWM kB","counter",15,0,137180,885134,1415672,393725,13277016,0,1,13277016
0,"status:VmExe kB","counter",15,0,2772,2772,2772,0,41580,0,1,41580
0,"cholesky syrk","timer",81280,84996,190,181795,29010949,637632,14776301832,14776301832,96,153919811
0,"status:VmPTE kB","counter",15,0,648,4044,5264,1144,60656,0,1,60656
0,"status:VmLck kB","counter",15,0,0,0,0,0,0,0,1,0
0,"status:VmLib kB","counter",15,0,1328164,1366647,1369396,10285,20499708,0,1,20499708
0,"run_helper","timer",1,3,55251,805156,574435,0,805156,805156,3,268385
0,"status:VmData kB","counter",15,0,188680,2273756,2944960,667883,34106336,0,1,34106336
0,"assemble K_tiles","timer",82560,82560,440,20651,1151150,14500,1704967226,1704967226,96,17760075
0,"status:VmSwap kB","counter",15,0,0,0,0,0,0,0,1,0
0,"1 Minute Load average","counter",15,0,58,63,66,3,941,0,1,941
0,"status:VmPeak kB","counter",15,0,2318864,9693241,10544472,1985115,145398608,0,1,145398608
0,"status:voluntary_ctxt_switches","counter",15,0,55,273,293,58,4097,0,1,4097
0,"status:nonvoluntary_ctxt_switches","counter",15,0,101,106,111,3,1595,0,1,1595
0,"N3hpx10components6server15runtime_support29call_startup_functions_actionE","timer",2,0,13780,75371,136961,61591,150741,150784,1,150741
0,"cholesky potrf","timer",1280,3535,189,548903,15227675,1034814,702595473,702595473,96,7318703
0,"N3hpx10components6server15runtime_support22load_components_actionE","timer",1,0,1708344,1708344,1708344,0,1708344,1708344,1,1708344
0,"cholesky trsm","timer",81280,453065,180,763544,86674144,1517946,62060846545,62060846545,96,646467152
0,"status:VmPin kB","counter",15,0,0,0,0,0,0,0,1,0
0,"status:VmSize kB","counter",15,0,2261524,9661859,10544472,1992063,144927892,0,1,144927892
0,"cholesky gemm","timer",3413760,3378513,260,167711,58643463,666237,572525455672,572525455672,96,5963806830
0,"N3hpx10components6server15runtime_support19shutdown_all_actionE","timer",1,2,66510,1768974,1621883,0,1768974,1768974,2,884487
0,"run_as_hpx_thread (void)","timer",20,12,2723622,255367778,581548185,227336569,5107355564,5107355564,25,204294223
0,"status:VmStk kB","counter",15,0,140,140,140,0,2100,0,1,2100
0,"CPU User %","counter",14,0,17,45,63,13,624,0,1,624
0,"CPU System %","counter",14,0,34,48,74,12,674,0,1,674
0,"CPU Nice %","counter",14,0,0,0,0,0,0,0,1,0
0,"cholesky","counter",10,0,1241980439,1369477245,1441574372,69231814,13694772453,0,1,13694772453
0,"CPU Idle %","counter",14,0,4,7,20,4,102,0,1,102
