"rank","name","type","num samples/calls","yields","minimum","mean","maximum","stddev","total","inclusive (ns)","num threads","total per thread"
0,"APEX MAIN","timer",1,0,104472644820,104472644820,104472644820,866,104472644820,104472644820,1,104472644820
0,"<unknown>","timer",1,0,176543,176543,176543,0,176543,176543,1,176543
0,"DRAM Energy","counter",104,0,0,0,0,0,0,0,1,0
0,"Package-0 Energy","counter",104,0,0,0,0,0,0,0,1,0
0,"CPU Guest %","counter",104,0,0,0,0,0,0,0,1,0
0,"status:VmHWM kB","counter",105,0,136952,803800,1130964,217801,84399004,0,1,84399004
0,"CPU I/O Wait %","counter",104,0,0,0,0,0,0,0,1,0
0,"status:VmExe kB","counter",105,0,2772,2772,2772,0,291060,0,1,291060
0,"status:VmPTE kB","counter",105,0,620,3732,4392,500,391876,0,1,391876
0,"N3hpx10components6server15runtime_support22load_components_actionE","timer",1,0,1776837,1776837,1776837,0,1776837,1776896,1,1776837
0,"status:VmLck kB","counter",105,0,0,0,0,0,0,0,1,0
0,"status:VmPin kB","counter",105,0,0,0,0,0,0,0,1,0
0,"status:VmSize kB","counter",105,0,2105864,18543661,21895212,2228710,1947084392,0,1,1947084392
0,"status:VmLib kB","counter",105,0,1328152,1328152,1328152,0,139455960,0,1,139455960
0,"run_helper","timer",1,3,66981,984536,696281,0,984536,984536,2,492268
0,"status:VmData kB","counter",105,0,163728,2126717,2466396,284366,223305268,0,1,223305268
0,"assemble K_tiles","timer",1313280,1300452,310,7077783,168337437,10391677,9295110435988,9295110435988,96,96824067042
0,"cholesky_step assembly","counter",10,0,9395984263,9744877803,10605877669,312619666,97448778033,0,9,10827642004
0,"status:VmSwap kB","counter",105,0,0,0,0,0,0,0,1,0
0,"1 Minute Load average","counter",105,0,2,28,65,17,2925,0,1,2925
0,"status:VmPeak kB","counter",105,0,2163204,20093353,22289000,2230590,2109802052,0,1,2109802052
0,"status:voluntary_ctxt_switches","counter",105,0,129,384,391,25,40321,0,1,40321
0,"status:nonvoluntary_ctxt_switches","counter",105,0,100,113,116,3,11838,0,1,11838
0,"CPU IRQ %","counter",104,0,0,0,0,0,0,0,1,0
0,"status:VmRSS kB","counter",105,0,136952,803800,1130964,217801,84399000,0,1,84399000
0,"CPU soft IRQ %","counter",104,0,0,0,0,0,0,0,1,0
0,"N3hpx10components6server15runtime_support29call_startup_functions_actionE","timer",2,0,14360,80346,146332,65986,160692,160692,1,160692
0,"N3hpx10components6server15runtime_support19shutdown_all_actionE","timer",1,2,62051,429556,222233,0,429556,429556,2,214778
0,"run_as_hpx_thread (void)","timer",10,10,164926768,832725316,720171022,0,8327253160,8327253160,17,489838421
0,"status:VmStk kB","counter",105,0,140,140,140,0,14700,0,1,14700
0,"CPU User %","counter",104,0,1,7,63,14,681,0,1,681
0,"CPU System %","counter",104,0,0,1,1,0,70,0,1,70
0,"CPU Nice %","counter",104,0,0,0,0,0,0,0,1,0
0,"CPU Idle %","counter",104,0,37,93,98,14,9649,0,1,9649
0,"status:Threads","counter",105,0,10,103,104,9,10826,0,1,10826
0,"CPU Steal %","counter",104,0,0,0,0,0,0,0,1,0
