n_cores,n_train,n_test,n_reg,i_loop,time
48,128,128,8,0,0.03301572799682617
48,128,128,8,1,0.012221336364746094
48,128,128,8,2,0.01264047622680664
48,128,128,8,3,0.012285232543945312
48,128,128,8,4,0.012264490127563477
48,128,128,8,5,0.012270450592041016
48,128,128,8,6,0.012309551239013672
48,128,128,8,7,0.012452125549316406
48,128,128,8,8,0.012239694595336914
48,128,128,8,9,0.012531757354736328
48,128,128,8,10,0.012145519256591797
48,256,256,8,0,0.03679919242858887
48,256,256,8,1,0.015605449676513672
48,256,256,8,2,0.016135215759277344
48,256,256,8,3,0.01599597930908203
48,256,256,8,4,0.01580500602722168
48,256,256,8,5,0.016264677047729492
48,256,256,8,6,0.015913963317871094
48,256,256,8,7,0.01635003089904785
48,256,256,8,8,0.016011953353881836
48,256,256,8,9,0.015995502471923828
48,256,256,8,10,0.01581573486328125
48,512,512,8,0,0.05064272880554199
48,512,512,8,1,0.030711889266967773
48,512,512,8,2,0.0277557373046875
48,512,512,8,3,0.028133630752563477
48,512,512,8,4,0.027769804000854492
48,512,512,8,5,0.027776241302490234
48,512,512,8,6,0.02779984474182129
48,512,512,8,7,0.027988195419311523
48,512,512,8,8,0.02767157554626465
48,512,512,8,9,0.027248144149780273
48,512,512,8,10,0.027390003204345703
48,1024,1024,8,0,0.12069010734558105
48,1024,1024,8,1,0.08593273162841797
48,1024,1024,8,2,0.08498287200927734
48,1024,1024,8,3,0.08493804931640625
48,1024,1024,8,4,0.08498454093933105
48,1024,1024,8,5,0.08507108688354492
48,1024,1024,8,6,0.0850229263305664
48,1024,1024,8,7,0.08581757545471191
48,1024,1024,8,8,0.0852658748626709
48,1024,1024,8,9,0.08531832695007324
48,1024,1024,8,10,0.08534646034240723
48,2048,2048,8,0,0.5407512187957764
48,2048,2048,8,1,0.49701809883117676
48,2048,2048,8,2,0.4974801540374756
48,2048,2048,8,3,0.5089530944824219
48,2048,2048,8,4,0.4987647533416748
48,2048,2048,8,5,0.4982137680053711
