n_cores,n_train,n_test,n_reg,i_loop,time
48,128,128,8,0,0.137162446975708
48,128,128,8,1,0.014408111572265625
48,128,128,8,2,0.014172792434692383
48,128,128,8,3,0.01434469223022461
48,128,128,8,4,0.01420736312866211
48,128,128,8,5,0.014165878295898438
48,128,128,8,6,0.014191150665283203
48,128,128,8,7,0.014372825622558594
48,128,128,8,8,0.014458179473876953
48,128,128,8,9,0.014438867568969727
48,128,128,8,10,0.014277458190917969
48,256,256,8,0,0.11652398109436035
48,256,256,8,1,0.014659881591796875
48,256,256,8,2,0.014267206192016602
48,256,256,8,3,0.01437234878540039
48,256,256,8,4,0.014376401901245117
48,256,256,8,5,0.014297962188720703
48,256,256,8,6,0.01430654525756836
48,256,256,8,7,0.014589786529541016
48,256,256,8,8,0.014090538024902344
48,256,256,8,9,0.014179706573486328
48,256,256,8,10,0.014225482940673828
48,512,512,8,0,0.13451528549194336
48,512,512,8,1,0.014942169189453125
48,512,512,8,2,0.014616727828979492
48,512,512,8,3,0.01468658447265625
48,512,512,8,4,0.014683723449707031
48,512,512,8,5,0.014711141586303711
48,512,512,8,6,0.014661073684692383
48,512,512,8,7,0.014923334121704102
48,512,512,8,8,0.014571666717529297
48,512,512,8,9,0.014519453048706055
48,512,512,8,10,0.014517784118652344
48,1024,1024,8,0,0.12374734878540039
48,1024,1024,8,1,0.017393112182617188
48,1024,1024,8,2,0.017232418060302734
48,1024,1024,8,3,0.017220497131347656
48,1024,1024,8,4,0.017251968383789062
48,1024,1024,8,5,0.01727914810180664
48,1024,1024,8,6,0.017123937606811523
48,1024,1024,8,7,0.017540454864501953
48,1024,1024,8,8,0.017139434814453125
48,1024,1024,8,9,0.01715373992919922
48,1024,1024,8,10,0.017194747924804688
48,2048,2048,8,0,0.13876628875732422
48,2048,2048,8,1,0.02576136589050293
48,2048,2048,8,2,0.02561187744140625
48,2048,2048,8,3,0.025704383850097656
48,2048,2048,8,4,0.025568485260009766
48,2048,2048,8,5,0.025708675384521484
48,2048,2048,8,6,0.025496244430541992
48,2048,2048,8,7,0.025840044021606445
48,2048,2048,8,8,0.025522232055664062
48,2048,2048,8,9,0.02549004554748535
48,2048,2048,8,10,0.025278806686401367
48,4096,4096,8,0,0.15749263763427734
48,4096,4096,8,1,0.06621122360229492
48,4096,4096,8,2,0.06623387336730957
48,4096,4096,8,3,0.06610393524169922
48,4096,4096,8,4,0.06610918045043945
48,4096,4096,8,5,0.06614375114440918
48,4096,4096,8,6,0.06618213653564453
48,4096,4096,8,7,0.06638360023498535
48,4096,4096,8,8,0.066009521484375
48,4096,4096,8,9,0.0661776065826416
48,4096,4096,8,10,0.06605887413024902
48,8192,8192,8,0,0.3869662284851074
48,8192,8192,8,1,0.2370164394378662
48,8192,8192,8,2,0.22554588317871094
48,8192,8192,8,3,0.22417974472045898
48,8192,8192,8,4,0.22485756874084473
48,8192,8192,8,5,0.22542643547058105
48,8192,8192,8,6,0.22547388076782227
48,8192,8192,8,7,0.2247471809387207
48,8192,8192,8,8,0.22604942321777344
48,8192,8192,8,9,0.22404241561889648
48,8192,8192,8,10,0.2248082160949707
48,16384,16384,8,0,1.5813953876495361
48,16384,16384,8,1,1.4613864421844482
48,16384,16384,8,2,1.4642488956451416
48,16384,16384,8,3,1.460740089416504
48,16384,16384,8,4,1.4684865474700928
48,16384,16384,8,5,1.4610810279846191
48,16384,16384,8,6,1.470078468322754
48,16384,16384,8,7,1.4684603214263916
48,16384,16384,8,8,1.467855453491211
48,16384,16384,8,9,1.4660682678222656
48,16384,16384,8,10,1.470008373260498
48,1,1,8,0,0.24332451820373535
48,1,1,8,1,0.013953685760498047
48,1,1,8,2,0.013900041580200195
48,1,1,8,3,0.013630151748657227
48,1,1,8,4,0.013700723648071289
48,1,1,8,5,0.013719558715820312
48,1,1,8,6,0.013756275177001953
48,1,1,8,7,0.0139007568359375
48,1,1,8,8,0.013815641403198242
48,1,1,8,9,0.013533830642700195
48,1,1,8,10,0.013543128967285156
48,2,2,8,0,0.13810324668884277
48,2,2,8,1,0.014221906661987305
48,2,2,8,2,0.013912200927734375
48,2,2,8,3,0.013793706893920898
48,2,2,8,4,0.014017343521118164
48,2,2,8,5,0.013835430145263672
48,2,2,8,6,0.013895988464355469
48,2,2,8,7,0.014260053634643555
48,2,2,8,8,0.01381683349609375
48,2,2,8,9,0.01378321647644043
48,2,2,8,10,0.013684511184692383
48,4,4,8,0,0.11456608772277832
48,4,4,8,1,0.014907121658325195
48,4,4,8,2,0.013887643814086914
48,4,4,8,3,0.013822317123413086
48,4,4,8,4,0.01371622085571289
48,4,4,8,5,0.013858556747436523
48,4,4,8,6,0.013717889785766602
48,4,4,8,7,0.014079570770263672
48,4,4,8,8,0.013681650161743164
48,4,4,8,9,0.013829946517944336
48,4,4,8,10,0.013686180114746094
48,8,8,8,0,0.11814212799072266
48,8,8,8,1,0.014386177062988281
48,8,8,8,2,0.013836383819580078
48,8,8,8,3,0.0137939453125
48,8,8,8,4,0.013908147811889648
48,8,8,8,5,0.013774633407592773
48,8,8,8,6,0.013799428939819336
48,8,8,8,7,0.01387643814086914
48,8,8,8,8,0.013704538345336914
48,8,8,8,9,0.013625383377075195
48,8,8,8,10,0.01379537582397461
48,16,16,8,0,0.11630368232727051
48,16,16,8,1,0.014869213104248047
48,16,16,8,2,0.013904333114624023
48,16,16,8,3,0.014109611511230469
48,16,16,8,4,0.014107227325439453
48,16,16,8,5,0.01391148567199707
48,16,16,8,6,0.013878822326660156
48,16,16,8,7,0.013969182968139648
48,16,16,8,8,0.01372075080871582
48,16,16,8,9,0.013720035552978516
48,16,16,8,10,0.013777494430541992
48,32,32,8,0,0.12894916534423828
48,32,32,8,1,0.014252662658691406
48,32,32,8,2,0.014049053192138672
48,32,32,8,3,0.014069080352783203
48,32,32,8,4,0.013976335525512695
48,32,32,8,5,0.014009237289428711
48,32,32,8,6,0.013993263244628906
48,32,32,8,7,0.01443171501159668
48,32,32,8,8,0.014023065567016602
48,32,32,8,9,0.013831853866577148
48,32,32,8,10,0.013926029205322266
48,64,64,8,0,0.11118721961975098
48,64,64,8,1,0.015119314193725586
48,64,64,8,2,0.014107227325439453
48,64,64,8,3,0.014104366302490234
48,64,64,8,4,0.014055967330932617
48,64,64,8,5,0.014207601547241211
48,64,64,8,6,0.014202356338500977
48,64,64,8,7,0.014455795288085938
48,64,64,8,8,0.013871908187866211
48,64,64,8,9,0.01406717300415039
48,64,64,8,10,0.014067411422729492
