n_cores,n_train,n_test,n_tiles,n_reg,i_loop,time
48,32,32,32,8,0,0.30855369567871094
48,32,32,32,8,1,0.3008110523223877
48,32,32,32,8,2,0.2618715763092041
48,32,32,32,8,3,0.2992591857910156
48,32,32,32,8,4,0.2774960994720459
48,32,32,32,8,5,0.2771482467651367
48,32,32,32,8,6,0.30129504203796387
48,32,32,32,8,7,0.2896745204925537
48,32,32,32,8,8,0.22631359100341797
48,32,32,32,8,9,0.27471494674682617
48,64,64,32,8,0,0.3101694583892822
48,64,64,32,8,1,0.2733757495880127
48,64,64,32,8,2,0.2787039279937744
48,64,64,32,8,3,0.2754852771759033
48,64,64,32,8,4,0.29882097244262695
48,64,64,32,8,5,0.29703807830810547
48,64,64,32,8,6,0.24683856964111328
48,64,64,32,8,7,0.2631659507751465
48,64,64,32,8,8,0.2629408836364746
48,64,64,32,8,9,0.24878311157226562
48,128,128,32,8,0,0.31418943405151367
48,128,128,32,8,1,0.2947807312011719
48,128,128,32,8,2,0.2669508457183838
48,128,128,32,8,3,0.2902388572692871
48,128,128,32,8,4,0.2982513904571533
48,128,128,32,8,5,0.3067028522491455
48,128,128,32,8,6,0.26947593688964844
48,128,128,32,8,7,0.300673246383667
48,128,128,32,8,8,0.30739450454711914
48,128,128,32,8,9,0.31427431106567383
48,256,256,32,8,0,0.3236868381500244
48,256,256,32,8,1,0.3010413646697998
48,256,256,32,8,2,0.30170679092407227
48,256,256,32,8,3,0.2973318099975586
48,256,256,32,8,4,0.2630929946899414
48,256,256,32,8,5,0.29517412185668945
48,256,256,32,8,6,0.2752685546875
48,256,256,32,8,7,0.28883862495422363
48,256,256,32,8,8,0.2940816879272461
48,256,256,32,8,9,0.2966299057006836
48,512,512,32,8,0,0.3503458499908447
48,512,512,32,8,1,0.3060741424560547
48,512,512,32,8,2,0.2417445182800293
48,512,512,32,8,3,0.2914884090423584
48,512,512,32,8,4,0.29106760025024414
48,512,512,32,8,5,0.29212093353271484
48,512,512,32,8,6,0.31716465950012207
48,512,512,32,8,7,0.26340246200561523
48,512,512,32,8,8,0.2987337112426758
48,512,512,32,8,9,0.28516197204589844
48,1024,1024,32,8,0,0.3693830966949463
48,1024,1024,32,8,1,0.3151991367340088
48,1024,1024,32,8,2,0.25078344345092773
48,1024,1024,32,8,3,0.3279585838317871
48,1024,1024,32,8,4,0.31404852867126465
48,1024,1024,32,8,5,0.3092055320739746
48,1024,1024,32,8,6,0.23708868026733398
48,1024,1024,32,8,7,0.3124237060546875
48,1024,1024,32,8,8,0.3175928592681885
48,1024,1024,32,8,9,0.2127668857574463
48,2048,2048,32,8,0,0.44329261779785156
48,2048,2048,32,8,1,0.3128478527069092
48,2048,2048,32,8,2,0.31984782218933105
48,2048,2048,32,8,3,0.3208916187286377
48,2048,2048,32,8,4,0.31353282928466797
48,2048,2048,32,8,5,0.3049461841583252
48,2048,2048,32,8,6,0.3166990280151367
48,2048,2048,32,8,7,0.3159756660461426
48,2048,2048,32,8,8,0.31581616401672363
48,2048,2048,32,8,9,0.32637786865234375
48,4096,4096,32,8,0,0.6146981716156006
48,4096,4096,32,8,1,0.371981143951416
48,4096,4096,32,8,2,0.367218017578125
48,4096,4096,32,8,3,0.3656184673309326
48,4096,4096,32,8,4,0.3723154067993164
48,4096,4096,32,8,5,0.3833274841308594
48,4096,4096,32,8,6,0.3934454917907715
48,4096,4096,32,8,7,0.37055468559265137
48,4096,4096,32,8,8,0.36975955963134766
48,4096,4096,32,8,9,0.348646879196167
48,8192,8192,32,8,0,1.662085771560669
48,8192,8192,32,8,1,1.394120693206787
48,8192,8192,32,8,2,1.3865571022033691
48,8192,8192,32,8,3,1.4151239395141602
48,8192,8192,32,8,4,1.442295789718628
48,8192,8192,32,8,5,1.3974509239196777
48,8192,8192,32,8,6,1.4193389415740967
48,8192,8192,32,8,7,1.3984839916229248
48,8192,8192,32,8,8,1.422651767730713
48,8192,8192,32,8,9,1.423666000366211
48,16384,16384,32,8,0,10.321545839309692
48,16384,16384,32,8,1,9.201646089553833
48,16384,16384,32,8,2,9.214885950088501
48,16384,16384,32,8,3,9.263386487960815
48,16384,16384,32,8,4,9.169711351394653
48,16384,16384,32,8,5,9.202882051467896
48,16384,16384,32,8,6,9.215045928955078
48,16384,16384,32,8,7,9.157326698303223
48,16384,16384,32,8,8,9.166409969329834
48,16384,16384,32,8,9,9.198704719543457
48,32768,32768,32,8,0,60.47518992424011
48,32768,32768,32,8,1,59.29085159301758
48,32768,32768,32,8,2,59.27856183052063
48,32768,32768,32,8,3,59.227370738983154
48,32768,32768,32,8,4,59.56935214996338
48,32768,32768,32,8,5,59.17090129852295
48,32768,32768,32,8,6,59.11062288284302
48,32768,32768,32,8,7,58.87048053741455
48,32768,32768,32,8,8,58.54945659637451
48,32768,32768,32,8,9,58.63302302360535
48,4,4,4,8,0,0.010496854782104492
48,4,4,4,8,1,0.004807710647583008
48,4,4,4,8,2,0.005138874053955078
48,4,4,4,8,3,0.0047376155853271484
48,4,4,4,8,4,0.004369974136352539
48,4,4,4,8,5,0.004750490188598633
48,4,4,4,8,6,0.0046231746673583984
48,4,4,4,8,7,0.004291534423828125
48,4,4,4,8,8,0.004811763763427734
48,4,4,4,8,9,0.0043833255767822266
48,8,8,4,8,0,0.009563684463500977
48,8,8,4,8,1,0.005426883697509766
48,8,8,4,8,2,0.004920005798339844
48,8,8,4,8,3,0.004875898361206055
48,8,8,4,8,4,0.005263328552246094
48,8,8,4,8,5,0.004482269287109375
48,8,8,4,8,6,0.004654407501220703
48,8,8,4,8,7,0.004621267318725586
48,8,8,4,8,8,0.004528999328613281
48,8,8,4,8,9,0.004251956939697266
48,16,16,4,8,0,0.010665655136108398
48,16,16,4,8,1,0.0047223567962646484
48,16,16,4,8,2,0.004648685455322266
48,16,16,4,8,3,0.004254341125488281
48,16,16,4,8,4,0.005202293395996094
48,16,16,4,8,5,0.004790067672729492
48,16,16,4,8,6,0.004873514175415039
48,16,16,4,8,7,0.005040407180786133
48,16,16,4,8,8,0.004673480987548828
48,16,16,4,8,9,0.004442691802978516
48,32,32,4,8,0,0.010195255279541016
48,32,32,4,8,1,0.005102634429931641
48,32,32,4,8,2,0.005395174026489258
48,32,32,4,8,3,0.004607200622558594
48,32,32,4,8,4,0.005005359649658203
48,32,32,4,8,5,0.004992485046386719
48,32,32,4,8,6,0.004889249801635742
48,32,32,4,8,7,0.004941701889038086
48,32,32,4,8,8,0.005395650863647461
48,32,32,4,8,9,0.004312753677368164
48,64,64,4,8,0,0.01479649543762207
48,64,64,4,8,1,0.005959987640380859
48,64,64,4,8,2,0.005254030227661133
48,64,64,4,8,3,0.005089521408081055
48,64,64,4,8,4,0.004856109619140625
48,64,64,4,8,5,0.005307674407958984
48,64,64,4,8,6,0.005567312240600586
48,64,64,4,8,7,0.004804372787475586
48,64,64,4,8,8,0.0055158138275146484
48,64,64,4,8,9,0.004844188690185547
48,128,128,4,8,0,0.014396905899047852
48,128,128,4,8,1,0.0063991546630859375
48,128,128,4,8,2,0.0059108734130859375
48,128,128,4,8,3,0.00495147705078125
48,128,128,4,8,4,0.0051724910736083984
48,128,128,4,8,5,0.005041837692260742
48,128,128,4,8,6,0.0053064823150634766
48,128,128,4,8,7,0.00530242919921875
48,128,128,4,8,8,0.00481104850769043
48,128,128,4,8,9,0.004588127136230469
48,256,256,4,8,0,0.019881725311279297
48,256,256,4,8,1,0.00922393798828125
48,256,256,4,8,2,0.008553266525268555
48,256,256,4,8,3,0.006288290023803711
48,256,256,4,8,4,0.005972146987915039
48,256,256,4,8,5,0.006072282791137695
48,256,256,4,8,6,0.005624294281005859
48,256,256,4,8,7,0.006564140319824219
48,256,256,4,8,8,0.006546974182128906
