n_cores,n_train,n_test,n_tiles,n_reg,n_streams,i_loop,time
48,1,1,1,8,1,0,0.19591712951660156
48,1,1,1,8,1,1,0.0034906864166259766
48,1,1,1,8,1,2,0.004266977310180664
48,1,1,1,8,1,3,0.00365447998046875
48,1,1,1,8,1,4,0.0035309791564941406
48,1,1,1,8,1,5,0.003035306930541992
48,1,1,1,8,1,6,0.0028629302978515625
48,1,1,1,8,1,7,0.003476858139038086
48,1,1,1,8,1,8,0.003203868865966797
48,1,1,1,8,1,9,0.003305196762084961
48,2,2,1,8,1,0,0.2015378475189209
48,2,2,1,8,1,1,0.003476858139038086
48,2,2,1,8,1,2,0.00427699089050293
48,2,2,1,8,1,3,0.003119945526123047
48,2,2,1,8,1,4,0.003403186798095703
48,2,2,1,8,1,5,0.003010988235473633
48,2,2,1,8,1,6,0.0031147003173828125
48,2,2,1,8,1,7,0.0033245086669921875
48,2,2,1,8,1,8,0.003159046173095703
48,2,2,1,8,1,9,0.0031213760375976562
48,4,4,1,8,1,0,0.19701504707336426
48,4,4,1,8,1,1,0.0029315948486328125
48,4,4,1,8,1,2,0.0039250850677490234
48,4,4,1,8,1,3,0.0032355785369873047
48,4,4,1,8,1,4,0.0033445358276367188
48,4,4,1,8,1,5,0.003338336944580078
48,4,4,1,8,1,6,0.002935171127319336
48,4,4,1,8,1,7,0.0036284923553466797
48,4,4,1,8,1,8,0.0031020641326904297
48,4,4,1,8,1,9,0.0031137466430664062
48,8,8,1,8,1,0,0.19841456413269043
48,8,8,1,8,1,1,0.0032057762145996094
48,8,8,1,8,1,2,0.003847837448120117
48,8,8,1,8,1,3,0.003316640853881836
48,8,8,1,8,1,4,0.0036630630493164062
48,8,8,1,8,1,5,0.0033721923828125
48,8,8,1,8,1,6,0.003053426742553711
48,8,8,1,8,1,7,0.00350189208984375
48,8,8,1,8,1,8,0.002856016159057617
48,8,8,1,8,1,9,0.0033864974975585938
48,16,16,1,8,1,0,0.19681692123413086
48,16,16,1,8,1,1,0.003178834915161133
48,16,16,1,8,1,2,0.0039501190185546875
48,16,16,1,8,1,3,0.0035431385040283203
48,16,16,1,8,1,4,0.003303050994873047
48,16,16,1,8,1,5,0.0029954910278320312
48,16,16,1,8,1,6,0.0029997825622558594
48,16,16,1,8,1,7,0.0032274723052978516
48,16,16,1,8,1,8,0.002943277359008789
48,16,16,1,8,1,9,0.003057241439819336
48,32,32,1,8,1,0,0.19408059120178223
48,32,32,1,8,1,1,0.003235340118408203
48,32,32,1,8,1,2,0.003796815872192383
48,32,32,1,8,1,3,0.003778219223022461
48,32,32,1,8,1,4,0.0032444000244140625
48,32,32,1,8,1,5,0.0029306411743164062
48,32,32,1,8,1,6,0.0030927658081054688
48,32,32,1,8,1,7,0.003271818161010742
48,32,32,1,8,1,8,0.0029878616333007812
48,32,32,1,8,1,9,0.003120899200439453
48,64,64,1,8,1,0,0.20883631706237793
48,64,64,1,8,1,1,0.0034813880920410156
48,64,64,1,8,1,2,0.0037660598754882812
48,64,64,1,8,1,3,0.003228425979614258
48,64,64,1,8,1,4,0.0035064220428466797
48,64,64,1,8,1,5,0.0033211708068847656
48,64,64,1,8,1,6,0.002893686294555664
48,64,64,1,8,1,7,0.003702878952026367
48,64,64,1,8,1,8,0.003153562545776367
48,64,64,1,8,1,9,0.002990245819091797
48,128,128,1,8,1,0,0.20389246940612793
48,128,128,1,8,1,1,0.003199338912963867
48,128,128,1,8,1,2,0.0041654109954833984
48,128,128,1,8,1,3,0.003777742385864258
48,128,128,1,8,1,4,0.0036268234252929688
48,128,128,1,8,1,5,0.003270864486694336
48,128,128,1,8,1,6,0.0030536651611328125
48,128,128,1,8,1,7,0.0036454200744628906
48,128,128,1,8,1,8,0.0032591819763183594
48,128,128,1,8,1,9,0.0032296180725097656
48,256,256,1,8,1,0,0.1986992359161377
48,256,256,1,8,1,1,0.003384113311767578
48,256,256,1,8,1,2,0.004183053970336914
48,256,256,1,8,1,3,0.004174232482910156
48,256,256,1,8,1,4,0.0038204193115234375
48,256,256,1,8,1,5,0.003661632537841797
48,256,256,1,8,1,6,0.0035130977630615234
48,256,256,1,8,1,7,0.003878355026245117
48,256,256,1,8,1,8,0.0036559104919433594
48,256,256,1,8,1,9,0.0037641525268554688
48,512,512,1,8,1,0,0.19736504554748535
48,512,512,1,8,1,1,0.0047986507415771484
48,512,512,1,8,1,2,0.0059816837310791016
48,512,512,1,8,1,3,0.004975557327270508
48,512,512,1,8,1,4,0.0055048465728759766
48,512,512,1,8,1,5,0.004893779754638672
48,512,512,1,8,1,6,0.004513978958129883
48,512,512,1,8,1,7,0.005052804946899414
48,512,512,1,8,1,8,0.0049610137939453125
48,512,512,1,8,1,9,0.005002021789550781
48,1024,1024,1,8,1,0,0.21007132530212402
48,1024,1024,1,8,1,1,0.00831294059753418
48,1024,1024,1,8,1,2,0.00885629653930664
48,1024,1024,1,8,1,3,0.00812530517578125
48,1024,1024,1,8,1,4,0.008568286895751953
48,1024,1024,1,8,1,5,0.008375883102416992
48,1024,1024,1,8,1,6,0.007767200469970703
48,1024,1024,1,8,1,7,0.008322000503540039
48,1024,1024,1,8,1,8,0.007901191711425781
48,1024,1024,1,8,1,9,0.007841348648071289
48,2048,2048,1,8,1,0,0.2175137996673584
48,2048,2048,1,8,1,1,0.02152109146118164
48,2048,2048,1,8,1,2,0.022593975067138672
48,2048,2048,1,8,1,3,0.02173900604248047
48,2048,2048,1,8,1,4,0.02125406265258789
48,2048,2048,1,8,1,5,0.020613431930541992
48,2048,2048,1,8,1,6,0.02083420753479004
48,2048,2048,1,8,1,7,0.021027326583862305
48,2048,2048,1,8,1,8,0.02068781852722168
48,2048,2048,1,8,1,9,0.020822763442993164
48,4096,4096,1,8,1,0,0.21098709106445312
48,4096,4096,1,8,1,1,0.0587007999420166
48,4096,4096,1,8,1,2,0.058275699615478516
48,4096,4096,1,8,1,3,0.05765533447265625
48,4096,4096,1,8,1,4,0.05868077278137207
48,4096,4096,1,8,1,5,0.058480024337768555
48,4096,4096,1,8,1,6,0.0574951171875
48,4096,4096,1,8,1,7,0.0585017204284668
48,4096,4096,1,8,1,8,0.0587770938873291
48,4096,4096,1,8,1,9,0.059255361557006836
48,8192,8192,1,8,1,0,0.4699549674987793
48,8192,8192,1,8,1,1,0.31869006156921387
48,8192,8192,1,8,1,2,0.3232395648956299
48,8192,8192,1,8,1,3,0.32193470001220703
48,8192,8192,1,8,1,4,0.3215928077697754
48,8192,8192,1,8,1,5,0.32237887382507324
48,8192,8192,1,8,1,6,0.32068371772766113
48,8192,8192,1,8,1,7,0.32202839851379395
48,8192,8192,1,8,1,8,0.32517361640930176
48,8192,8192,1,8,1,9,0.3230855464935303
48,16384,16384,1,8,1,0,2.4611175060272217
48,16384,16384,1,8,1,1,2.2476956844329834
48,16384,16384,1,8,1,2,2.253042459487915
48,16384,16384,1,8,1,3,2.2530970573425293
48,16384,16384,1,8,1,4,2.2557027339935303
48,16384,16384,1,8,1,5,2.256345510482788
48,16384,16384,1,8,1,6,2.26179575920105
48,16384,16384,1,8,1,7,2.2607054710388184
48,16384,16384,1,8,1,8,2.2548274993896484
48,16384,16384,1,8,1,9,2.2673521041870117
48,32,32,4,8,4,0,0.3141765594482422
48,32,32,4,8,4,1,0.012937545776367188
48,32,32,4,8,4,2,0.014491558074951172
48,32,32,4,8,4,3,0.013178110122680664
48,32,32,4,8,4,4,0.014233827590942383
48,32,32,4,8,4,5,0.013859033584594727
48,32,32,4,8,4,6,0.01455378532409668
48,32,32,4,8,4,7,0.013829946517944336
48,32,32,4,8,4,8,0.014293670654296875
48,32,32,4,8,4,9,0.014355659484863281
48,64,64,4,8,4,0,0.21269702911376953
48,64,64,4,8,4,1,0.012780189514160156
48,64,64,4,8,4,2,0.01304316520690918
48,64,64,4,8,4,3,0.013201236724853516
48,64,64,4,8,4,4,0.013159990310668945
48,64,64,4,8,4,5,0.014236927032470703
48,64,64,4,8,4,6,0.015033721923828125
48,64,64,4,8,4,7,0.013208866119384766
48,64,64,4,8,4,8,0.013415336608886719
48,64,64,4,8,4,9,0.01320648193359375
48,128,128,4,8,4,0,0.2083582878112793
48,128,128,4,8,4,1,0.012205362319946289
48,128,128,4,8,4,2,0.01299595832824707
48,128,128,4,8,4,3,0.012958049774169922
48,128,128,4,8,4,4,0.012701034545898438
48,128,128,4,8,4,5,0.012928485870361328
48,128,128,4,8,4,6,0.013271331787109375
48,128,128,4,8,4,7,0.01304483413696289
48,128,128,4,8,4,8,0.01352238655090332
48,128,128,4,8,4,9,0.013443470001220703
48,256,256,4,8,4,0,0.20612668991088867
48,256,256,4,8,4,1,0.01127767562866211
48,256,256,4,8,4,2,0.012342214584350586
48,256,256,4,8,4,3,0.013019323348999023
48,256,256,4,8,4,4,0.012543916702270508
48,256,256,4,8,4,5,0.012288570404052734
48,256,256,4,8,4,6,0.01318502426147461
48,256,256,4,8,4,7,0.01358485221862793
48,256,256,4,8,4,8,0.013344049453735352
48,256,256,4,8,4,9,0.012471675872802734
48,512,512,4,8,4,0,0.22438740730285645
48,512,512,4,8,4,1,0.013331174850463867
48,512,512,4,8,4,2,0.01377248764038086
48,512,512,4,8,4,3,0.013405323028564453
48,512,512,4,8,4,4,0.0133514404296875
48,512,512,4,8,4,5,0.014500856399536133
48,512,512,4,8,4,6,0.013469934463500977
48,512,512,4,8,4,7,0.014207839965820312
48,512,512,4,8,4,8,0.014242410659790039
48,512,512,4,8,4,9,0.013111114501953125
48,1024,1024,4,8,4,0,0.2408134937286377
48,1024,1024,4,8,4,1,0.017231464385986328
48,1024,1024,4,8,4,2,0.016163110733032227
48,1024,1024,4,8,4,3,0.016257762908935547
48,1024,1024,4,8,4,4,0.01613330841064453
48,1024,1024,4,8,4,5,0.015266180038452148
48,1024,1024,4,8,4,6,0.015596389770507812
48,1024,1024,4,8,4,7,0.015128135681152344
48,1024,1024,4,8,4,8,0.015930652618408203
48,1024,1024,4,8,4,9,0.015984535217285156
48,2048,2048,4,8,4,0,0.2237863540649414
48,2048,2048,4,8,4,1,0.028808116912841797
48,2048,2048,4,8,4,2,0.027506589889526367
48,2048,2048,4,8,4,3,0.02874612808227539
48,2048,2048,4,8,4,4,0.02867269515991211
48,2048,2048,4,8,4,5,0.026902198791503906
48,2048,2048,4,8,4,6,0.02801680564880371
48,2048,2048,4,8,4,7,0.02775406837463379
48,2048,2048,4,8,4,8,0.028248071670532227
48,2048,2048,4,8,4,9,0.028159141540527344
48,4096,4096,4,8,4,0,0.22272515296936035
48,4096,4096,4,8,4,1,0.060872793197631836
48,4096,4096,4,8,4,2,0.061286211013793945
48,4096,4096,4,8,4,3,0.05976057052612305
48,4096,4096,4,8,4,4,0.06119847297668457
48,4096,4096,4,8,4,5,0.06064009666442871
48,4096,4096,4,8,4,6,0.06336426734924316
48,4096,4096,4,8,4,7,0.06112861633300781
48,4096,4096,4,8,4,8,0.06197929382324219
48,4096,4096,4,8,4,9,0.06268882751464844
48,8192,8192,4,8,4,0,0.4816100597381592
48,8192,8192,4,8,4,1,0.32823753356933594
48,8192,8192,4,8,4,2,0.3251678943634033
48,8192,8192,4,8,4,3,0.32317495346069336
48,8192,8192,4,8,4,4,0.32770633697509766
48,8192,8192,4,8,4,5,0.3250844478607178
48,8192,8192,4,8,4,6,0.328143835067749
48,8192,8192,4,8,4,7,0.3254826068878174
48,8192,8192,4,8,4,8,0.3264734745025635
48,8192,8192,4,8,4,9,0.32634544372558594
48,16384,16384,4,8,4,0,2.318302631378174
48,16384,16384,4,8,4,1,2.162147045135498
48,16384,16384,4,8,4,2,2.161574125289917
48,16384,16384,4,8,4,3,2.164020538330078
48,16384,16384,4,8,4,4,2.1709420680999756
48,16384,16384,4,8,4,5,2.1697258949279785
48,16384,16384,4,8,4,6,2.1734538078308105
48,16384,16384,4,8,4,7,2.1722800731658936
48,16384,16384,4,8,4,8,2.1757125854492188
48,16384,16384,4,8,4,9,2.179455041885376
48,4,4,4,8,4,0,0.26618504524230957
48,4,4,4,8,4,1,0.012900829315185547
48,4,4,4,8,4,2,0.013538122177124023
48,4,4,4,8,4,3,0.014287471771240234
48,4,4,4,8,4,4,0.014206886291503906
48,4,4,4,8,4,5,0.013868093490600586
48,4,4,4,8,4,6,0.01447439193725586
48,4,4,4,8,4,7,0.014582633972167969
48,4,4,4,8,4,8,0.014988899230957031
48,4,4,4,8,4,9,0.014312028884887695
48,8,8,4,8,4,0,0.22558259963989258
48,8,8,4,8,4,1,0.014492988586425781
48,8,8,4,8,4,2,0.014802932739257812
48,8,8,4,8,4,3,0.013615608215332031
48,8,8,4,8,4,4,0.014201164245605469
48,8,8,4,8,4,5,0.014206886291503906
48,8,8,4,8,4,6,0.014057159423828125
48,8,8,4,8,4,7,0.013741016387939453
48,8,8,4,8,4,8,0.01414942741394043
48,8,8,4,8,4,9,0.013741016387939453
48,16,16,4,8,4,0,0.22083544731140137
48,16,16,4,8,4,1,0.013844728469848633
48,16,16,4,8,4,2,0.014145612716674805
48,16,16,4,8,4,3,0.014241695404052734
48,16,16,4,8,4,4,0.014240264892578125
48,16,16,4,8,4,5,0.013965845108032227
48,16,16,4,8,4,6,0.015048980712890625
48,16,16,4,8,4,7,0.014591455459594727
48,16,16,4,8,4,8,0.015027046203613281
48,16,16,4,8,4,9,0.014618635177612305
