n_cores,n_train,n_test,n_reg,i_loop,time
48,128,128,8,0,0.008126497268676758
48,128,128,8,1,0.0032830238342285156
48,128,128,8,2,0.0030012130737304688
48,128,128,8,3,0.0030846595764160156
48,128,128,8,4,0.003265857696533203
48,128,128,8,5,0.0030210018157958984
48,128,128,8,6,0.0029053688049316406
48,128,128,8,7,0.0029206275939941406
48,128,128,8,8,0.0063266754150390625
48,128,128,8,9,0.0033173561096191406
48,128,128,8,10,0.003989458084106445
48,256,256,8,0,0.01251220703125
48,256,256,8,1,0.006299495697021484
48,256,256,8,2,0.006208181381225586
48,256,256,8,3,0.006283998489379883
48,256,256,8,4,0.00663447380065918
48,256,256,8,5,0.007241964340209961
48,256,256,8,6,0.009164810180664062
48,256,256,8,7,0.006648063659667969
48,256,256,8,8,0.0065038204193115234
48,256,256,8,9,0.007967948913574219
48,256,256,8,10,0.007480144500732422
48,512,512,8,0,0.020419836044311523
48,512,512,8,1,0.010519742965698242
48,512,512,8,2,0.010497570037841797
48,512,512,8,3,0.01103830337524414
48,512,512,8,4,0.011987686157226562
48,512,512,8,5,0.01359415054321289
48,512,512,8,6,0.009869098663330078
48,512,512,8,7,0.01090097427368164
48,512,512,8,8,0.016623258590698242
48,512,512,8,9,0.01217341423034668
48,512,512,8,10,0.012432575225830078
48,1024,1024,8,0,0.04846000671386719
48,1024,1024,8,1,0.015861988067626953
48,1024,1024,8,2,0.015368223190307617
48,1024,1024,8,3,0.016527891159057617
48,1024,1024,8,4,0.015236616134643555
48,1024,1024,8,5,0.015161275863647461
48,1024,1024,8,6,0.01839590072631836
48,1024,1024,8,7,0.015221357345581055
48,1024,1024,8,8,0.024322032928466797
48,1024,1024,8,9,0.015108346939086914
48,1024,1024,8,10,0.015024185180664062
48,2048,2048,8,0,0.11685824394226074
48,2048,2048,8,1,0.08417630195617676
48,2048,2048,8,2,0.08793473243713379
48,2048,2048,8,3,0.08469295501708984
48,2048,2048,8,4,0.08461213111877441
48,2048,2048,8,5,0.08664250373840332
48,2048,2048,8,6,0.08461999893188477
48,2048,2048,8,7,0.10333442687988281
48,2048,2048,8,8,0.08600211143493652
48,2048,2048,8,9,0.09094023704528809
48,2048,2048,8,10,0.08222198486328125
48,4096,4096,8,0,0.32936763763427734
48,4096,4096,8,1,0.295612096786499
48,4096,4096,8,2,0.29130125045776367
48,4096,4096,8,3,0.29665589332580566
48,4096,4096,8,4,0.2830836772918701
