n_cores,n_train,n_test,n_reg,i_loop,time
48,128,128,8,0,0.14977645874023438
48,128,128,8,1,0.0025877952575683594
48,128,128,8,2,0.002707958221435547
48,128,128,8,3,0.00283050537109375
48,128,128,8,4,0.0024530887603759766
48,128,128,8,5,0.0024895668029785156
48,128,128,8,6,0.0024261474609375
48,128,128,8,7,0.0024831295013427734
48,128,128,8,8,0.0034546852111816406
48,128,128,8,9,0.0024640560150146484
48,128,128,8,10,0.0024297237396240234
48,256,256,8,0,0.15260052680969238
48,256,256,8,1,0.003179311752319336
48,256,256,8,2,0.003020763397216797
48,256,256,8,3,0.0032815933227539062
48,256,256,8,4,0.0031478404998779297
48,256,256,8,5,0.002991199493408203
48,256,256,8,6,0.002801656723022461
48,256,256,8,7,0.002845287322998047
48,256,256,8,8,0.0038003921508789062
48,256,256,8,9,0.002816915512084961
48,256,256,8,10,0.0028040409088134766
48,512,512,8,0,0.15526700019836426
48,512,512,8,1,0.0040395259857177734
48,512,512,8,2,0.003940105438232422
48,512,512,8,3,0.00436711311340332
48,512,512,8,4,0.004258871078491211
48,512,512,8,5,0.004058122634887695
48,512,512,8,6,0.0039441585540771484
48,512,512,8,7,0.004185914993286133
48,512,512,8,8,0.003954172134399414
48,512,512,8,9,0.003945112228393555
48,512,512,8,10,0.0040662288665771484
48,1024,1024,8,0,0.40441370010375977
48,1024,1024,8,1,0.010879278182983398
48,1024,1024,8,2,0.010856866836547852
48,1024,1024,8,3,0.010616540908813477
48,1024,1024,8,4,0.010791540145874023
48,1024,1024,8,5,0.011181116104125977
48,1024,1024,8,6,0.010742902755737305
48,1024,1024,8,7,0.010630369186401367
48,1024,1024,8,8,0.010594844818115234
48,1024,1024,8,9,0.010763168334960938
48,1024,1024,8,10,0.010657072067260742
48,2048,2048,8,0,0.4535095691680908
48,2048,2048,8,1,0.02135777473449707
48,2048,2048,8,2,0.019032716751098633
48,2048,2048,8,3,0.018437623977661133
48,2048,2048,8,4,0.019282102584838867
48,2048,2048,8,5,0.01832723617553711
48,2048,2048,8,6,0.01931905746459961
48,2048,2048,8,7,0.01812005043029785
48,2048,2048,8,8,0.018584728240966797
48,2048,2048,8,9,0.018383502960205078
48,2048,2048,8,10,0.02165842056274414
48,4096,4096,8,0,0.45839953422546387
48,4096,4096,8,1,0.026752710342407227
48,4096,4096,8,2,0.02790522575378418
48,4096,4096,8,3,0.027126789093017578
48,4096,4096,8,4,0.027579307556152344
48,4096,4096,8,5,0.027112245559692383
48,4096,4096,8,6,0.02750706672668457
48,4096,4096,8,7,0.027083635330200195
48,4096,4096,8,8,0.027410507202148438
48,4096,4096,8,9,0.02701735496520996
48,4096,4096,8,10,0.0308530330657959
48,8192,8192,8,0,0.4642832279205322
48,8192,8192,8,1,0.06243419647216797
48,8192,8192,8,2,0.06176352500915527
48,8192,8192,8,3,0.062419891357421875
48,8192,8192,8,4,0.06258583068847656
48,8192,8192,8,5,0.0631709098815918
48,8192,8192,8,6,0.06239604949951172
48,8192,8192,8,7,0.06241154670715332
48,8192,8192,8,8,0.06253409385681152
48,8192,8192,8,9,0.0623471736907959
48,8192,8192,8,10,0.06365656852722168
48,16384,16384,8,0,0.554243803024292
48,16384,16384,8,1,0.19556951522827148
48,16384,16384,8,2,0.17914342880249023
48,16384,16384,8,3,0.17275500297546387
48,16384,16384,8,4,0.17760777473449707
48,16384,16384,8,5,0.17504262924194336
48,16384,16384,8,6,0.17423200607299805
48,16384,16384,8,7,0.17767572402954102
48,16384,16384,8,8,0.17772436141967773
48,16384,16384,8,9,0.17784762382507324
48,16384,16384,8,10,0.1777338981628418
48,1,1,8,0,0.14584827423095703
48,1,1,8,1,0.002195596694946289
48,1,1,8,2,0.0020482540130615234
48,1,1,8,3,0.0028743743896484375
48,1,1,8,4,0.002000093460083008
48,1,1,8,5,0.0020813941955566406
48,1,1,8,6,0.0019736289978027344
48,1,1,8,7,0.002082347869873047
48,1,1,8,8,0.002002239227294922
48,1,1,8,9,0.0020704269409179688
48,1,1,8,10,0.0019884109497070312
48,2,2,8,0,0.16515636444091797
48,2,2,8,1,0.002588510513305664
48,2,2,8,2,0.006090402603149414
48,2,2,8,3,0.003152608871459961
48,2,2,8,4,0.0023763179779052734
48,2,2,8,5,0.002355813980102539
48,2,2,8,6,0.0023741722106933594
48,2,2,8,7,0.0023245811462402344
48,2,2,8,8,0.0035431385040283203
48,2,2,8,9,0.002321004867553711
48,2,2,8,10,0.0024225711822509766
48,4,4,8,0,0.1646723747253418
48,4,4,8,1,0.0025975704193115234
48,4,4,8,2,0.002390623092651367
48,4,4,8,3,0.003214597702026367
48,4,4,8,4,0.002337932586669922
48,4,4,8,5,0.0024404525756835938
48,4,4,8,6,0.0023186206817626953
48,4,4,8,7,0.002365589141845703
48,4,4,8,8,0.0034520626068115234
48,4,4,8,9,0.0023415088653564453
48,4,4,8,10,0.002382993698120117
48,8,8,8,0,0.1646573543548584
48,8,8,8,1,0.002544879913330078
48,8,8,8,2,0.002402782440185547
48,8,8,8,3,0.0031282901763916016
48,8,8,8,4,0.0023984909057617188
48,8,8,8,5,0.002346515655517578
48,8,8,8,6,0.002331972122192383
48,8,8,8,7,0.00232696533203125
48,8,8,8,8,0.003417491912841797
48,8,8,8,9,0.0023717880249023438
48,8,8,8,10,0.002301931381225586
48,16,16,8,0,0.16404986381530762
48,16,16,8,1,0.0025739669799804688
48,16,16,8,2,0.003045797348022461
48,16,16,8,3,0.002471923828125
48,16,16,8,4,0.0023403167724609375
48,16,16,8,5,0.002402067184448242
48,16,16,8,6,0.0023255348205566406
48,16,16,8,7,0.0023581981658935547
48,16,16,8,8,0.0034227371215820312
48,16,16,8,9,0.0023369789123535156
48,16,16,8,10,0.0023336410522460938
48,32,32,8,0,0.16064453125
48,32,32,8,1,0.002566814422607422
48,32,32,8,2,0.0031397342681884766
48,32,32,8,3,0.0024335384368896484
48,32,32,8,4,0.0023725032806396484
48,32,32,8,5,0.0023660659790039062
48,32,32,8,6,0.002352476119995117
48,32,32,8,7,0.002388477325439453
48,32,32,8,8,0.003427267074584961
