n_cores,n_train,n_test,n_reg,i_loop,time
48,1,1,8,0,0.0025293827056884766
48,1,1,8,1,0.0015017986297607422
48,1,1,8,2,0.0014302730560302734
48,1,1,8,3,0.0014235973358154297
48,1,1,8,4,0.0013926029205322266
48,1,1,8,5,0.0014014244079589844
48,1,1,8,6,0.001413106918334961
48,1,1,8,7,0.0013873577117919922
48,1,1,8,8,0.0014147758483886719
48,1,1,8,9,0.0022153854370117188
48,1,1,8,10,0.0021026134490966797
48,2,2,8,0,0.004460811614990234
48,2,2,8,1,0.001718759536743164
48,2,2,8,2,0.0016140937805175781
48,2,2,8,3,0.0016164779663085938
48,2,2,8,4,0.0016009807586669922
48,2,2,8,5,0.0016016960144042969
48,2,2,8,6,0.0016062259674072266
48,2,2,8,7,0.0016102790832519531
48,2,2,8,8,0.0016248226165771484
48,2,2,8,9,0.00246429443359375
48,2,2,8,10,0.0023193359375
48,4,4,8,0,0.004572629928588867
48,4,4,8,1,0.0017108917236328125
48,4,4,8,2,0.0016109943389892578
48,4,4,8,3,0.0016052722930908203
48,4,4,8,4,0.0016040802001953125
48,4,4,8,5,0.0015685558319091797
48,4,4,8,6,0.001622915267944336
48,4,4,8,7,0.0015940666198730469
48,4,4,8,8,0.0016589164733886719
48,4,4,8,9,0.0024566650390625
48,4,4,8,10,0.0022962093353271484
48,8,8,8,0,0.006239414215087891
48,8,8,8,1,0.0017538070678710938
48,8,8,8,2,0.0016791820526123047
48,8,8,8,3,0.0016558170318603516
48,8,8,8,4,0.001615285873413086
48,8,8,8,5,0.004984855651855469
48,8,8,8,6,0.00542449951171875
48,8,8,8,7,0.0016546249389648438
48,8,8,8,8,0.0016815662384033203
48,8,8,8,9,0.0035347938537597656
48,8,8,8,10,0.0017237663269042969
48,16,16,8,0,0.006437778472900391
48,16,16,8,1,0.0018067359924316406
48,16,16,8,2,0.001787424087524414
48,16,16,8,3,0.001737833023071289
48,16,16,8,4,0.0017044544219970703
48,16,16,8,5,0.0017199516296386719
48,16,16,8,6,0.0017619132995605469
48,16,16,8,7,0.001733541488647461
48,16,16,8,8,0.0017778873443603516
48,16,16,8,9,0.0025360584259033203
48,16,16,8,10,0.0024340152740478516
48,32,32,8,0,0.007591724395751953
48,32,32,8,1,0.0032100677490234375
48,32,32,8,2,0.003089427947998047
48,32,32,8,3,0.0031280517578125
48,32,32,8,4,0.0030775070190429688
48,32,32,8,5,0.0031664371490478516
48,32,32,8,6,0.0030515193939208984
48,32,32,8,7,0.0030324459075927734
48,32,32,8,8,0.0031290054321289062
48,32,32,8,9,0.003942966461181641
48,32,32,8,10,0.0042383670806884766
48,64,64,8,0,0.0073850154876708984
48,64,64,8,1,0.0022068023681640625
48,64,64,8,2,0.0020847320556640625
48,64,64,8,3,0.0021533966064453125
48,64,64,8,4,0.0020613670349121094
48,64,64,8,5,0.0021295547485351562
48,64,64,8,6,0.002079010009765625
48,64,64,8,7,0.0036957263946533203
48,64,64,8,8,0.004996538162231445
48,64,64,8,9,0.0029740333557128906
48,64,64,8,10,0.0030927658081054688
48,128,128,8,0,0.00829172134399414
48,128,128,8,1,0.0031998157501220703
48,128,128,8,2,0.003256559371948242
48,128,128,8,3,0.0031349658966064453
48,128,128,8,4,0.0028302669525146484
48,128,128,8,5,0.0031418800354003906
48,128,128,8,6,0.0033016204833984375
48,128,128,8,7,0.002920866012573242
48,128,128,8,8,0.00318145751953125
48,128,128,8,9,0.011154890060424805
48,128,128,8,10,0.0033071041107177734
48,256,256,8,0,0.01408839225769043
48,256,256,8,1,0.007135152816772461
48,256,256,8,2,0.006098270416259766
48,256,256,8,3,0.006242990493774414
48,256,256,8,4,0.0055162906646728516
48,256,256,8,5,0.006420612335205078
48,256,256,8,6,0.006512880325317383
48,256,256,8,7,0.00531768798828125
48,256,256,8,8,0.005956888198852539
48,256,256,8,9,0.010382413864135742
48,256,256,8,10,0.007623910903930664
48,512,512,8,0,0.025671720504760742
48,512,512,8,1,0.012800455093383789
48,512,512,8,2,0.01120138168334961
48,512,512,8,3,0.012601137161254883
48,512,512,8,4,0.011186838150024414
48,512,512,8,5,0.011883974075317383
48,512,512,8,6,0.012561559677124023
48,512,512,8,7,0.01817607879638672
48,512,512,8,8,0.013944387435913086
48,512,512,8,9,0.01289057731628418
48,512,512,8,10,0.015536785125732422
48,1024,1024,8,0,0.11953377723693848
48,1024,1024,8,1,0.08188748359680176
48,1024,1024,8,2,0.08184814453125
48,1024,1024,8,3,0.08481240272521973
48,1024,1024,8,4,0.08616757392883301
48,1024,1024,8,5,0.0737147331237793
48,1024,1024,8,6,0.08183884620666504
48,1024,1024,8,7,0.0783376693725586
48,1024,1024,8,8,0.0795278549194336
48,1024,1024,8,9,0.06930184364318848
48,1024,1024,8,10,0.0630178451538086
48,2048,2048,8,0,0.6668989658355713
48,2048,2048,8,1,0.6641533374786377
48,2048,2048,8,2,0.6125369071960449
48,2048,2048,8,3,0.6081171035766602
48,2048,2048,8,4,0.6404883861541748
48,2048,2048,8,5,0.6168546676635742
48,2048,2048,8,6,0.6716761589050293
48,2048,2048,8,7,0.645758867263794
48,2048,2048,8,8,0.617645263671875
48,2048,2048,8,9,0.645627498626709
48,2048,2048,8,10,0.6075179576873779
48,4096,4096,8,0,2.5577824115753174
48,4096,4096,8,1,2.363563060760498
48,4096,4096,8,2,2.516730785369873
48,4096,4096,8,3,2.4992456436157227
48,4096,4096,8,4,2.427297353744507
48,4096,4096,8,5,2.7759149074554443
48,4096,4096,8,6,2.510448932647705
48,4096,4096,8,7,2.383885145187378
48,4096,4096,8,8,2.4621152877807617
48,4096,4096,8,9,2.5410404205322266
48,4096,4096,8,10,2.624119758605957
48,8192,8192,8,0,12.202340364456177
48,8192,8192,8,1,14.710307359695435
48,8192,8192,8,2,14.823575973510742
