n_cores,n_train,n_test,n_reg,i_loop,time
48,1,1,8,0,0.14717340469360352
48,1,1,8,1,0.0020928382873535156
48,1,1,8,2,0.0027184486389160156
48,1,1,8,3,0.002111196517944336
48,1,1,8,4,0.001988649368286133
48,1,1,8,5,0.0020334720611572266
48,1,1,8,6,0.001964092254638672
48,1,1,8,7,0.0020110607147216797
48,1,1,8,8,0.002038717269897461
48,1,1,8,9,0.001985311508178711
48,1,1,8,10,0.0019817352294921875
48,2,2,8,0,0.1640458106994629
48,2,2,8,1,0.0023484230041503906
48,2,2,8,2,0.002885580062866211
48,2,2,8,3,0.002275228500366211
48,2,2,8,4,0.002173185348510742
48,2,2,8,5,0.0021986961364746094
48,2,2,8,6,0.002199411392211914
48,2,2,8,7,0.002195596694946289
48,2,2,8,8,0.002238750457763672
48,2,2,8,9,0.0021758079528808594
48,2,2,8,10,0.002219676971435547
48,4,4,8,0,0.16300153732299805
48,4,4,8,1,0.0023179054260253906
48,4,4,8,2,0.0029091835021972656
48,4,4,8,3,0.0022776126861572266
48,4,4,8,4,0.002155303955078125
48,4,4,8,5,0.002233743667602539
48,4,4,8,6,0.0021758079528808594
48,4,4,8,7,0.0021893978118896484
48,4,4,8,8,0.002186298370361328
48,4,4,8,9,0.0021758079528808594
48,4,4,8,10,0.002158641815185547
48,8,8,8,0,0.1614978313446045
48,8,8,8,1,0.002321004867553711
48,8,8,8,2,0.002808094024658203
48,8,8,8,3,0.0022954940795898438
48,8,8,8,4,0.0021295547485351562
48,8,8,8,5,0.0021495819091796875
48,8,8,8,6,0.002147197723388672
48,8,8,8,7,0.00218963623046875
48,8,8,8,8,0.0021605491638183594
48,8,8,8,9,0.0021674633026123047
48,8,8,8,10,0.002147674560546875
48,16,16,8,0,0.16408491134643555
48,16,16,8,1,0.0023660659790039062
48,16,16,8,2,0.0028922557830810547
48,16,16,8,3,0.002265453338623047
48,16,16,8,4,0.002199411392211914
48,16,16,8,5,0.002217531204223633
48,16,16,8,6,0.0021703243255615234
48,16,16,8,7,0.002214193344116211
48,16,16,8,8,0.002213716506958008
48,16,16,8,9,0.002193450927734375
48,16,16,8,10,0.0021932125091552734
48,32,32,8,0,0.16119766235351562
48,32,32,8,1,0.002367258071899414
48,32,32,8,2,0.0029408931732177734
48,32,32,8,3,0.002301931381225586
48,32,32,8,4,0.002213716506958008
48,32,32,8,5,0.0022525787353515625
48,32,32,8,6,0.002201080322265625
48,32,32,8,7,0.002223491668701172
48,32,32,8,8,0.0022628307342529297
48,32,32,8,9,0.002213001251220703
48,32,32,8,10,0.002225637435913086
48,64,64,8,0,0.16184163093566895
48,64,64,8,1,0.0023987293243408203
48,64,64,8,2,0.002947568893432617
48,64,64,8,3,0.0022919178009033203
48,64,64,8,4,0.002212047576904297
48,64,64,8,5,0.0022344589233398438
48,64,64,8,6,0.0022084712982177734
