"rank","name","type","num samples/calls","yields","minimum","mean","maximum","stddev","total","inclusive (ns)","num threads","total per thread"
0,"APEX MAIN","timer",1,0,3224013943,3224013943,3224013943,13,3224013943,3224013943,1,3224013943
0,"N3hpx10components6server15runtime_support19shutdown_all_actionE","timer",1,2,47160,1598334,1500143,0,1598334,1598334,2,799167
0,"predict_full_cov_step assembly","counter",10,0,38361201,41591142,51988411,3654940,415911420,0,9,46212380
0,"predict_full_cov_step full cov","counter",10,0,87409177,158125236,173016605,24004159,1581252358,0,9,175694706
0,"run_as_hpx_thread (void)","timer",20,125,620,127231914,159100760,0,2544638271,2544638271,72,35342198
0,"assemble t_cross_covariance_tiles","timer",10240,10155,491,23661,1962040,34439,242291765,242291765,96,2523873
0,"<unknown>","timer",1,0,91072,91072,91072,0,91072,91136,1,91072
0,"assemble prediction_tiles","timer",320,320,580,33480,199293,23876,10713641,10713641,95,112775
0,"status:VmSize kB","counter",4,0,1972812,7728234,9660404,3322907,30912936,0,1,30912936
0,"status:VmPin kB","counter",4,0,0,0,0,0,0,0,1,0
0,"cholesky gemm","timer",49600,49430,650,121101,6083953,224798,6006614190,6006614190,96,62568898
0,"assemble prior_K_tiles","timer",10240,10202,550,47590,1441842,39185,487324006,487324006,96,5076292
0,"forward trsv","timer",320,322,910,138746,787522,109472,44398759,44398759,94,472327
0,"status:VmExe kB","counter",4,0,2772,2772,2772,0,11088,0,1,11088
0,"cholesky potrf","timer",320,344,410,225947,4666802,301291,72303194,72303194,95,761086
0,"predict_full_cov_step forward","counter",10,0,2475898,2849613,3298550,285098,28496127,0,9,3166236
0,"status:nonvoluntary_ctxt_switches","counter",4,0,103,104,104,0,415,0,1,415
0,"status:voluntary_ctxt_switches","counter",4,0,36,234,306,115,937,0,1,937
0,"status:VmPeak kB","counter",4,0,1972812,7728234,9660404,3322907,30912936,0,1,30912936
0,"assemble cross_covariance_tiles","timer",10240,10240,640,63144,2016941,32151,646591829,646591829,96,6735332
0,"1 Minute Load average","counter",4,0,46,46,46,0,183,0,1,183
0,"assemble K_tiles","timer",5280,5280,680,52770,246524,14159,278624442,278624442,96,2902338
0,"status:VmData kB","counter",4,0,161680,1360195,1853020,694951,5440780,0,1,5440780
0,"run_helper","timer",1,3,38600,1281871,1049467,0,1281871,1281871,2,640936
0,"N3hpx10components6server15runtime_support22load_components_actionE","timer",1,0,1682936,1682936,1682936,0,1682936,1682944,1,1682936
0,"assemble prediction_uncertainty_tiles","timer",320,320,430,33341,115462,12950,10669264,10669264,95,112308
0,"status:VmPTE kB","counter",4,0,624,2389,3140,1025,9556,0,1,9556
0,"predict gemv","timer",10240,10163,551,75710,1193538,48541,775272727,775272727,96,8075758
0,"cholesky trsm","timer",4960,9699,189,218504,5029457,298758,1083781510,1083781510,96,11289391
0,"CPU User %","counter",3,0,76,79,82,2,238,0,1,238
0,"assemble alpha_tiles","timer",320,320,520,14222,62951,13819,4551162,4551162,96,47408
0,"status:VmHWM kB","counter",4,0,137152,307974,445500,113391,1231896,0,1,1231896
0,"CPU soft IRQ %","counter",3,0,0,0,0,0,0,0,1,0
0,"status:Threads","counter",4,0,10,79,102,40,316,0,1,316
0,"backward trsv","timer",320,321,930,135799,795183,111508,43455690,43455690,93,467265
0,"status:VmSwap kB","counter",4,0,0,0,0,0,0,0,1,0
0,"CPU Steal %","counter",3,0,0,0,0,0,0,0,1,0
0,"cholesky syrk","timer",4960,4945,470,147921,6385438,365769,733688880,733688880,96,7642593
0,"status:VmLib kB","counter",4,0,1328192,1359116,1369424,17854,5436464,0,1,5436464
0,"forward gemv","timer",4960,4957,780,49519,528879,23252,245612097,245612097,96,2558459
0,"forward_KcK trsm","timer",10240,11305,210,199261,4455889,245804,2040437205,2040437205,96,21254554
0,"backward gemv","timer",4960,4952,630,48117,426466,21525,238662226,238662226,96,2486065
0,"N3hpx10components6server15runtime_support29call_startup_functions_actionE","timer",2,0,12181,45757,79332,33576,91513,91513,1,91513
0,"predict_full_cov_step backward","counter",10,0,2311125,2804528,3405862,325962,28045280,0,9,3116142
0,"status:VmRSS kB","counter",4,0,137152,307971,445496,113390,1231884,0,1,1231884
0,"pred_uncer diag_tile","timer",320,327,740,34523,62191,0,11047419,11047419,94,117526
0,"forward_KcK gemm","timer",158720,157642,450,93402,6357817,212617,14824744303,14824744303,96,154424420
0,"predict_full_cov_step prediction","counter",10,0,3148218,6179708,7179960,1489746,61797082,0,9,6866342
0,"predict_full_cov_step forward KcK","counter",10,0,40058277,71867643,81772940,12251026,718676432,0,9,79852937
0,"status:VmStk kB","counter",4,0,144,144,144,0,576,0,1,576
0,"full_cov gemm","timer",327680,325124,350,90005,11660159,132980,29492833171,29492833171,96,307217012
0,"predict_full_cov_step pred uncer","counter",10,0,156352,182530,218684,19800,1825299,0,9,202811
0,"CPU System %","counter",3,0,11,15,19,3,45,0,1,45
0,"CPU Nice %","counter",3,0,0,0,0,0,0,0,1,0
0,"CPU Idle %","counter",3,0,4,6,9,2,18,0,1,18
0,"CPU I/O Wait %","counter",3,0,0,0,0,0,0,0,1,0
0,"CPU IRQ %","counter",3,0,0,0,0,0,0,0,1,0
0,"status:VmLck kB","counter",4,0,0,0,0,0,0,0,1,0
0,"CPU Guest %","counter",3,0,0,0,0,0,0,0,1,0
0,"Package-0 Energy","counter",3,0,0,0,0,0,0,0,1,0
0,"predict_full_cov_step cholesky","counter",10,0,19198286,31593109,67868765,12915332,315931085,0,9,35103454
0,"DRAM Energy","counter",3,0,0,0,0,0,0,0,1,0
