"rank","name","type","num samples/calls","yields","minimum","mean","maximum","stddev","total","inclusive (ns)","num threads","total per thread"
0,"APEX MAIN","timer",1,0,501838702,501838702,501838702,0,501838702,501838702,1,501838702
0,"predict_full_cov_step copyback","counter",50,0,34730,62170,106890,18963,3108523,0,37,84014
0,"predict_full_cov_step pred uncer","counter",50,0,47290,85571,298662,42802,4278557,0,37,115637
0,"predict_full_cov_step ressource destroy","counter",50,0,708805,894942,1148149,86939,44747093,0,37,1209381
0,"full_cov gemm","timer",50,47,1260,150219,343333,0,7510965,7510965,34,220911
0,"predict_full_cov_step prediction","counter",50,0,55691,170649,3586966,489030,8532443,0,37,230607
0,"pred_uncer diag_tile","timer",50,47,1130,92796,289803,21110,4639806,4639806,36,128884
0,"predict_full_cov_step backward","counter",50,0,80550,128588,237052,24587,6429398,0,37,173768
0,"forward trsv","timer",50,49,1220,167264,1408880,174183,8363186,8363186,34,245976
0,"predict_full_cov_step cholesky","counter",50,0,560064,816664,1613232,155158,40833189,0,37,1103600
0,"backward trsv","timer",50,48,910,134047,249962,0,6702330,6702330,34,197127
0,"status:Threads","counter",1,0,10,10,10,0,10,0,1,10
0,"status:VmRSS kB","counter",1,0,137396,137396,137396,0,137396,0,1,137396
0,"status:VmHWM kB","counter",1,0,137396,137396,137396,0,137396,0,1,137396
0,"status:VmExe kB","counter",1,0,2772,2772,2772,0,2772,0,1,2772
0,"assemble alpha_tiles","timer",50,50,1130,411233,1413521,223144,20561651,20561651,40,514041
0,"status:VmStk kB","counter",1,0,140,140,140,0,140,0,1,140
0,"predict gemv","timer",50,50,1060,176622,3516085,475773,8831115,8831115,36,245309
0,"status:VmPTE kB","counter",1,0,636,636,636,0,636,0,1,636
0,"N3hpx10components6server15runtime_support22load_components_actionE","timer",1,0,1718143,1718143,1718143,0,1718143,1718143,1,1718143
0,"forward_KcK trsm","timer",50,48,1009,464303,4807345,619551,23215152,23215152,33,703489
0,"assemble zeros","timer",150,150,1150,584376,1444921,140610,87656429,87656429,78,1123800
0,"status:VmLck kB","counter",1,0,0,0,0,0,0,0,1,0
0,"predict_full_cov_step ressource allocation","counter",50,0,482523,4379563,169041391,23524187,218978152,0,37,5918328
0,"predict_full_cov_step forward KcK","counter",50,0,251692,457146,4824825,626294,22857288,0,37,617765
0,"status:VmPin kB","counter",1,0,0,0,0,0,0,0,1,0
0,"status:VmSize kB","counter",1,0,2046548,2046548,2046548,0,2046548,0,1,2046548
0,"status:VmLib kB","counter",1,0,1328192,1328192,1328192,0,1328192,0,1,1328192
0,"run_helper","timer",1,3,39691,1454132,1094668,0,1454132,1454132,3,484711
0,"status:VmData kB","counter",1,0,170012,170012,170012,0,170012,0,1,170012
0,"assemble K_tiles","timer",50,50,1700,467200,1468441,222026,23359986,23359986,34,687058
0,"status:VmSwap kB","counter",1,0,0,0,0,0,0,0,1,0
0,"1 Minute Load average","counter",1,0,93,93,93,0,93,0,1,93
0,"<unknown>","timer",1,0,57531,57531,57531,0,57531,57531,1,57531
0,"assemble cross_covariance_tiles","timer",50,50,1610,628243,1250050,106222,31412165,31412165,38,826636
0,"status:VmPeak kB","counter",1,0,2095692,2095692,2095692,0,2095692,0,1,2095692
0,"status:voluntary_ctxt_switches","counter",1,0,39,39,39,0,39,0,1,39
0,"status:nonvoluntary_ctxt_switches","counter",1,0,101,101,101,0,101,0,1,101
0,"predict_full_cov_step forward","counter",50,0,90401,161155,1425951,182272,8057725,0,37,217776
0,"N3hpx10components6server15runtime_support29call_startup_functions_actionE","timer",2,0,46030,57760,69490,11730,115520,115712,1,115520
0,"assemble prior_K_tiles_full","timer",50,50,1570,518535,1235559,178010,25926744,25926744,37,700723
0,"cholesky potrf","timer",50,46,709,817469,1537111,110772,40873464,40873464,39,1048038
0,"N3hpx10components6server15runtime_support19shutdown_all_actionE","timer",1,2,20541,303592,172661,0,303592,303592,2,151796
0,"run_as_hpx_thread (void)","timer",50,400,5110,6151850,169264263,23213867,307592509,307592509,94,3272261
0,"assemble t_cross_covariance_tiles","timer",50,50,1180,331146,792086,110625,16557317,16557317,38,435719
0,"predict_full_cov_step full cov","counter",50,0,101401,147164,340583,42493,7358194,0,37,198870
0,"predict_full_cov_step assembly","counter",50,0,800416,985996,1935934,197428,49299791,0,37,1332427
