n_cores,n_train,n_test,n_tiles,n_reg,i_loop,time
6,16384,16384,1,8,0,320.579731464386
6,16384,16384,1,8,1,319.9433355331421
6,16384,16384,1,8,2,334.90554547309875
6,16384,16384,1,8,3,305.82207679748535
6,16384,16384,1,8,4,340.859680891037
6,16384,16384,1,8,5,325.9107220172882
6,16384,16384,1,8,6,304.5866537094116
6,16384,16384,1,8,7,319.0795407295227
6,16384,16384,1,8,8,306.2330322265625
6,16384,16384,1,8,9,316.7466549873352
6,16384,16384,1,8,10,302.78961658477783
6,16384,16384,2,8,0,103.6954710483551
6,16384,16384,2,8,1,91.14141631126404
6,16384,16384,2,8,2,92.47358560562134
6,16384,16384,2,8,3,106.37975931167603
6,16384,16384,2,8,4,98.2953588962555
6,16384,16384,2,8,5,102.65050864219666
6,16384,16384,2,8,6,93.70062327384949
6,16384,16384,2,8,7,88.1246919631958
6,16384,16384,2,8,8,107.79887127876282
6,16384,16384,2,8,9,88.74583745002747
6,16384,16384,2,8,10,113.35875916481018
6,16384,16384,4,8,0,43.438864946365356
6,16384,16384,4,8,1,42.51826882362366
6,16384,16384,4,8,2,39.04626226425171
6,16384,16384,4,8,3,38.996177196502686
6,16384,16384,4,8,4,41.2235951423645
6,16384,16384,4,8,5,39.17419099807739
6,16384,16384,4,8,6,40.91916227340698
6,16384,16384,4,8,7,40.3861243724823
6,16384,16384,4,8,8,38.804282903671265
6,16384,16384,4,8,9,40.89737033843994
6,16384,16384,4,8,10,42.606462717056274
6,16384,16384,8,8,0,31.976205348968506
6,16384,16384,8,8,1,32.55929207801819
6,16384,16384,8,8,2,32.30359220504761
6,16384,16384,8,8,3,32.06382393836975
6,16384,16384,8,8,4,32.611552238464355
6,16384,16384,8,8,5,31.839455127716064
6,16384,16384,8,8,6,32.4494194984436
6,16384,16384,8,8,7,32.70567464828491
6,16384,16384,8,8,8,30.719624280929565
6,16384,16384,8,8,9,31.858946084976196
6,16384,16384,8,8,10,30.971142768859863
6,16384,16384,16,8,0,11.776493072509766
6,16384,16384,16,8,1,10.269238233566284
6,16384,16384,16,8,2,9.763723373413086
6,16384,16384,16,8,3,9.759631395339966
6,16384,16384,16,8,4,9.901182413101196
6,16384,16384,16,8,5,9.997517824172974
6,16384,16384,16,8,6,10.192435503005981
6,16384,16384,16,8,7,9.720309734344482
6,16384,16384,16,8,8,10.115905046463013
6,16384,16384,16,8,9,10.139573335647583
6,16384,16384,16,8,10,10.141264200210571
6,16384,16384,32,8,0,11.432218313217163
6,16384,16384,32,8,1,9.190852165222168
6,16384,16384,32,8,2,9.231644630432129
6,16384,16384,32,8,3,9.312215089797974
6,16384,16384,32,8,4,9.281189441680908
6,16384,16384,32,8,5,9.212477684020996
6,16384,16384,32,8,6,9.217793226242065
6,16384,16384,32,8,7,9.263288497924805
6,16384,16384,32,8,8,9.237796306610107
6,16384,16384,32,8,9,9.221122980117798
6,16384,16384,32,8,10,9.224012851715088
6,16384,16384,64,8,0,10.484021663665771
