"rank","name","type","num samples/calls","yields","minimum","mean","maximum","stddev","total","inclusive (ns)","num threads","total per thread"
0,"APEX MAIN","timer",1,0,99611333252,99611333252,99611333252,686,99611333252,99611333252,1,99611333252
0,"N3hpx10components6server15runtime_support19shutdown_all_actionE","timer",1,2,36200,222151,135621,0,222151,222151,2,111076
0,"predict_full_cov_step assembly","counter",11,0,389997228,434546804,713502674,88617268,4780014845,0,9,531112761
0,"predict_full_cov_step full cov","counter",11,0,34158087,37666655,48166428,3906953,414333209,0,9,46037023
0,"<unknown>","timer",1,0,58631,58631,58631,0,58631,58631,1,58631
0,"assemble prediction_tiles","timer",88,79,750,9729,46670,4812,856138,856138,29,29522
0,"status:VmSize kB","counter",100,0,2341468,7782276,9743896,896863,778227632,0,1,778227632
0,"status:VmPin kB","counter",100,0,0,0,0,0,0,0,1,0
0,"cholesky gemm","timer",616,615,2169,679771977,976398717,167756190,418739537581,418739537581,48,8723740366
0,"run_as_hpx_thread (void)","timer",22,117,4190,70565525,116477234,41611334,1552441539,1552441539,45,34498701
0,"assemble t_cross_covariance_tiles","timer",704,659,530,1479411,5290800,1084374,1041505393,1041505393,48,21698029
0,"assemble prior_K_tiles","timer",704,663,510,803006,2934807,637693,565316171,565316171,48,11777420
0,"forward trsv","timer",88,87,2910,23906445,70691860,7700856,2103767154,2103767154,36,58437977
0,"status:VmExe kB","counter",100,0,2772,2772,2772,0,277200,0,1,277200
0,"cholesky potrf","timer",88,88,1630,240607354,559575211,131318701,21173447132,21173447132,37,572255328
0,"predict_full_cov_step forward","counter",11,0,336633177,381033103,460420033,41844170,4191364130,0,9,465707126
0,"status:nonvoluntary_ctxt_switches","counter",100,0,101,103,104,1,10280,0,1,10280
0,"status:voluntary_ctxt_switches","counter",100,0,129,273,280,15,27273,0,1,27273
0,"status:VmPeak kB","counter",100,0,2341468,9842379,9973300,760081,984237860,0,1,984237860
0,"assemble cross_covariance_tiles","timer",704,661,720,21381390,34330402,1844551,15052498781,15052498781,48,313593725
0,"1 Minute Load average","counter",100,0,2,24,34,9,2369,0,1,2369
0,"assemble K_tiles","timer",396,395,1631,384538871,402480809,9906548,152277392719,152277392719,48,3172445682
0,"status:VmData kB","counter",100,0,203300,3884442,6056068,923666,388444228,0,1,388444228
0,"run_helper","timer",1,3,67961,1049820,744277,0,1049820,1049820,3,349940
0,"N3hpx10components6server15runtime_support22load_components_actionE","timer",1,0,2365902,2365902,2365902,0,2365902,2365952,1,2365902
0,"assemble prediction_uncertainty_tiles","timer",88,87,630,13777,140111,22781,1212332,1212332,31,39107
0,"status:VmPTE kB","counter",100,0,664,7480,11836,1727,748028,0,1,748028
0,"predict gemv","timer",704,703,680,1007156,5720354,1112277,709037607,709037607,48,14771617
0,"cholesky trsm","timer",308,308,2650,276197019,393561605,27450230,85068681975,85068681975,48,1772264208
0,"CPU User %","counter",99,0,22,31,41,5,3077,0,1,3077
0,"assemble alpha_tiles","timer",88,88,570,39911,187021,42890,3512205,3512205,31,113297
0,"status:VmHWM kB","counter",100,0,137468,4814392,5038444,526717,481439152,0,1,481439152
0,"CPU soft IRQ %","counter",99,0,0,0,0,0,1,0,1,1
0,"status:Threads","counter",100,0,14,54,54,4,5360,0,1,5360
0,"status:VmSwap kB","counter",100,0,0,0,0,0,0,0,1,0
0,"CPU Steal %","counter",99,0,0,0,0,0,0,0,1,0
0,"backward trsv","timer",88,88,1980,21421726,29975550,4166281,1885111853,1885111853,39,48336201
0,"cholesky syrk","timer",308,308,2320,354022477,476373532,54157333,109038922818,109038922818,48,2271644225
0,"CPU Nice %","counter",99,0,0,0,0,0,0,0,1,0
0,"CPU System %","counter",99,0,0,5,13,3,449,0,1,449
0,"predict_full_cov_step pred uncer","counter",11,0,70110,114042,172051,25151,1254460,0,9,139384
0,"CPU Idle %","counter",99,0,55,64,72,4,6373,0,1,6373
0,"CPU I/O Wait %","counter",99,0,0,0,0,0,0,0,1,0
