n_cores,n_train,n_test,n_tiles,n_reg,n_streams,i_loop,time
48,16384,16384,1,8,1,0,2.5428547859191895
48,16384,16384,1,8,1,1,2.2339184284210205
48,16384,16384,1,8,1,2,2.23641037940979
48,16384,16384,1,8,1,3,2.2303225994110107
48,16384,16384,1,8,1,4,2.2419626712799072
48,16384,16384,1,8,1,5,2.237736225128174
48,16384,16384,1,8,1,6,2.2415053844451904
48,16384,16384,1,8,1,7,2.2506232261657715
48,16384,16384,1,8,1,8,2.2502942085266113
48,16384,16384,1,8,1,9,2.2490062713623047
48,16384,16384,1,8,1,10,2.2552311420440674
48,16384,16384,1,8,2,0,2.4084722995758057
48,16384,16384,1,8,2,1,2.2565245628356934
48,16384,16384,1,8,2,2,2.258701801300049
48,16384,16384,1,8,2,3,2.2590513229370117
48,16384,16384,1,8,2,4,2.2615110874176025
48,16384,16384,1,8,2,5,2.260995864868164
48,16384,16384,1,8,2,6,2.270050287246704
48,16384,16384,1,8,2,7,2.2686452865600586
48,16384,16384,1,8,2,8,2.2711703777313232
48,16384,16384,1,8,2,9,2.2738935947418213
48,16384,16384,1,8,2,10,2.270933151245117
48,16384,16384,1,8,4,0,2.420349359512329
48,16384,16384,1,8,4,1,2.2912425994873047
48,16384,16384,1,8,4,2,2.280961036682129
48,16384,16384,1,8,4,3,2.276245355606079
48,16384,16384,1,8,4,4,2.2813212871551514
48,16384,16384,1,8,4,5,2.2813069820404053
48,16384,16384,1,8,4,6,2.280252456665039
48,16384,16384,1,8,4,7,2.2861008644104004
48,16384,16384,1,8,4,8,2.285921335220337
48,16384,16384,1,8,4,9,2.2881221771240234
48,16384,16384,1,8,4,10,2.2810873985290527
48,16384,16384,1,8,8,0,2.423452377319336
48,16384,16384,1,8,8,1,2.2857706546783447
48,16384,16384,1,8,8,2,2.290339708328247
48,16384,16384,1,8,8,3,2.287325620651245
48,16384,16384,1,8,8,4,2.295029401779175
48,16384,16384,1,8,8,5,2.283133029937744
48,16384,16384,1,8,8,6,2.291627883911133
48,16384,16384,1,8,8,7,2.296220541000366
48,16384,16384,1,8,8,8,2.295926332473755
48,16384,16384,1,8,8,9,2.2910099029541016
48,16384,16384,1,8,8,10,2.2973473072052
48,16384,16384,1,8,16,0,2.4327895641326904
