"rank","name","type","num samples/calls","yields","minimum","mean","maximum","stddev","total","inclusive (ns)","num threads","total per thread"
0,"APEX MAIN","timer",1,0,700486371912,700486371912,700486371912,5575,700486371912,700486371912,1,700486371912
0,"N3hpx10components6server15runtime_support19shutdown_all_actionE","timer",1,2,35281,610630,320675,0,610630,610630,2,305315
0,"<unknown>","timer",1,0,190713,190713,190713,0,190713,190720,1,190713
0,"CPU Idle %","counter",699,0,24,88,98,13,61798,0,1,61798
0,"CPU Nice %","counter",699,0,0,0,0,0,0,0,1,0
0,"CPU System %","counter",699,0,0,4,7,1,2628,0,1,2628
0,"predict_full_cov_step pred uncer","counter",11,0,13019099,14667046,17467309,1293301,161337502,0,10,16133750
0,"run_as_hpx_thread (void)","timer",11,694745,120,11623664561,8220611882,0,127860310176,127860310176,96,1331878231
0,"assemble t_cross_covariance_tiles","timer",180224,178406,760,9217500,307006930,11894530,1661214665725,1661214665725,96,17304319435
0,"predict_full_cov_step forward","counter",11,0,105999074,111944656,117663137,4165197,1231391218,0,10,123139122
0,"predict_full_cov_step ressource destroy","counter",11,0,320269914,455680947,1214784951,263478333,5012490418,0,10,501249042
0,"status:nonvoluntary_ctxt_switches","counter",700,0,104,112,115,3,78390,0,1,78390
0,"status:voluntary_ctxt_switches","counter",700,0,140,386,391,10,269953,0,1,269953
0,"status:VmPeak kB","counter",700,0,2243156,31806262,41031208,5981153,22264383140,0,1,22264383140
0,"1 Minute Load average","counter",700,0,1,12,22,5,8572,0,1,8572
0,"assemble K_tiles","timer",90816,89880,350,6814245,110937219,9141151,618842464492,618842464492,96,6446275672
0,"status:VmData kB","counter",700,0,170012,7196210,11581684,2906274,5037346956,0,1,5037346956
0,"run_helper","timer",1,3,35470,947793,635069,0,947793,947793,3,315931
0,"status:VmSize kB","counter",700,0,2177620,31683909,41031208,6041185,22178736460,0,1,22178736460
0,"status:VmPin kB","counter",700,0,0,0,0,0,0,0,1,0
0,"cholesky gemm","timer",3755136,3727928,290,1465714,34912043,1861019,5503954385483,5503954385483,96,57332858182
0,"predict_full_cov_step ressource allocation","counter",11,0,813182,14275907,144778908,41269273,157034978,0,10,15703498
0,"N3hpx10components6server15runtime_support22load_components_actionE","timer",1,0,1856096,1856096,1856096,0,1856096,1856096,1,1856096
0,"CPU User %","counter",699,0,1,8,75,12,5474,0,1,5474
0,"cholesky trsm","timer",89408,2515171,120,2560935,390739064,3807993,228968065214,228968065214,96,2385084013
0,"status:VmPTE kB","counter",700,0,632,13820,22440,5696,9673880,0,1,9673880
0,"predict gemv","timer",180224,178184,620,906962,18913789,1271036,163456402469,163456402469,96,1702670859
0,"assemble alpha_tiles","timer",1408,1391,910,7787532,91150269,10358819,10964844456,10964844456,96,114217130
0,"assemble prior_K_tiles_full","timer",180224,178324,530,8553338,306955260,12053725,1541516724572,1541516724572,96,16057465881
0,"cholesky potrf","timer",1408,1401,1180,8302273,281202502,12188727,11689600136,11689600136,96,121766668
0,"status:VmExe kB","counter",700,0,2772,2772,2772,0,1940400,0,1,1940400
0,"CPU I/O Wait %","counter",699,0,0,0,0,0,0,0,1,0
0,"status:VmHWM kB","counter",700,0,137312,5821287,10119920,2881995,4074900648,0,1,4074900648
0,"CPU soft IRQ %","counter",699,0,0,0,0,0,1,0,1,1
0,"status:Threads","counter",700,0,11,104,104,4,72707,0,1,72707
0,"status:VmSwap kB","counter",700,0,0,0,0,0,0,0,1,0
0,"CPU Steal %","counter",699,0,0,0,0,0,0,0,1,0
0,"backward trsv","timer",1408,1404,920,548553,3204386,428229,772362619,772362619,96,8045444
0,"CPU IRQ %","counter",699,0,0,0,0,0,0,0,1,0
0,"status:VmLck kB","counter",700,0,0,0,0,0,0,0,1,0
0,"CPU Guest %","counter",699,0,0,0,0,0,0,0,1,0
0,"Package-0 Energy","counter",699,0,0,0,0,0,0,0,1,0
0,"assemble cross_covariance_tiles","timer",180224,178349,580,8329414,150145935,12050898,1501160249876,1501160249876,96,15637085936
0,"assemble zeros","timer",4224,4180,610,9271176,91239727,11699170,39161445707,39161445707,96,407931726
0,"status:VmLib kB","counter",700,0,1328192,1328192,1328192,0,929734400,0,1,929734400
0,"forward gemv","timer",89408,88949,700,453869,6342980,473803,40579494760,40579494760,96,422703070
0,"forward_KcK trsm","timer",180224,179612,140,5801516,70562193,7179833,1045572413971,1045572413971,96,10891379312
0,"predict_full_cov_step assembly","counter",11,0,4902839008,5112790527,5528776949,192474064,56240695796,0,10,5624069580
0,"predict_full_cov_step full cov","counter",11,0,33827505265,34171373866,34419771616,162568308,375885112523,0,10,37588511252
0,"predict_full_cov_step copyback","counter",11,0,4157591,5118749,5890165,650962,56306240,0,10,5630624
